Document Title,Year,Abstract,IEEE Terms,Author Keywords,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Volume,Issue,Start Page,End Page,ISSN,ISBNs,DOI,Funding Information,PDF Link,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,,,,,,
Domain-Specific Backlinking Services in the Web of Data,2010,"This paper describes an Open Linked Data backlinking service, a generic architecture component to support the discovery of useful links between items across highly connected data sets. Using Public Sector Information (PSI) currently available as Linked Data, we demonstrate that contemporary publishing practices do not adequately support the ability to navigate or automatically traverse between resources published by different vendors, or the capacity to discover information relevant to a particular URL Although some useful services in this area have been developed, such as large triple indexes of published data, and the collection of sameAs relationships between individuals, we believe that an important component is missing: a mechanism to discover the backlinks to relevant resources that cannot be found by direct URI resolution. We present the implementation of such a component, integrating data from various PSI sources.",,,M. Salvadores; G. Correndo; M. Szomszor; Y. Yang; N. Gibbins; I. Millard; H. Glaser; N. Shadbolt,"IAM Group, Univ. of Southampton, Southampton, UK",2010 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,20101101,1,,318,323,,Electronic:978-0-7695-4191-4; POD:978-1-4244-8482-9,10.1109/WI-IAT.2010.34,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5616578,Web services;semantic Web,Web of Data;direct URI resolution;domain specific backlinking service;generic architecture component;open linked data backlinking service;public sector information;useful links discovery,,1,,13,,,,Aug. 31 2010-Sept. 3 2010,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Linked Open Government Data: Lessons from Data.gov.uk,2012,A project to extract value from open government data contributes to the population of the linked data Web with high-value data of good provenance.,Geography;Government policies;Intelligent systems;Ontologies;Open systems;Resource description framework;Semantic Web;information services,EnAKTing;OGD;PSI;linked data;open data;public sector information,N. Shadbolt; K. O'Hara; T. Berners-Lee; N. Gibbins; H. Glaser; W. Hall; m. c. schraefel,University of Southampton,IEEE Intelligent Systems,20120711,27,3,16,24,1541-1672;15411672,,10.1109/MIS.2012.23,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6171150,Internet;data handling;government data processing,Data.gov.uk;high-value data;linked data Web;linked open government data;project to extract value,,39,,8,,,20120319,May-June 2012,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
Advancing value creation and value capture in data-intensive contexts,2013,"Realizing the vast potential for value creation that Big Data has to offer to firms and public agencies requires a radical departure from the traditional data warehouse model currently in place in most organizations. Given the inability of current approaches to integrate the four dimensions of volume, variety velocity and veracity into a single and coherent framework, new business models around the Big Data paradigm will likely be developed in a collaborative regime in which technology firms, public entities and end customers will organize around ecosystems, strategic partnerships or private-collective modes of technology development and commercialization.",Data handling;Data models;Data storage systems;Information management;Organizations;Technological innovation,4Vs;Big Data;business models;value creation,R. Ferrando-Llopis; D. Lopez-Berzosa; C. Mulligan,"Res. Unit, R-Knowing, UK",2013 IEEE International Conference on Big Data,20131223,,,5,9,,Electronic:978-1-4799-1293-3; POD:978-1-4799-1294-0,10.1109/BigData.2013.6691685,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691685,Big Data;data warehouses;groupware,Big Data paradigm;business models;collaborative regime;data warehouse model;data-intensive context;private-collective modes;strategic partnerships;technology commercialization;technology development;value capture;value creation,,2,,34,,,,6-9 Oct. 2013,,IEEE,IEEE Conference Publications,,,,,,,,,,,
"CSV-X: A Linked Data Enabled Schema Language, Model, and Processing Engine for Non-Uniform CSV",2016,"At present there are numbers of tools and schemas to aid in publishing CSV as RDF. However, there are still many non-uniform CSV datasets, which cannot effectively be processed using available solutions. This paper proposes CSV-X, a novel schema language, model, and processing engine for non-uniform CSV enabling annotation, validation, cross-referencing, linked data, RDF serialization, and transformation to other formats. Common non-uniform patterns are identified and used as a basis to create language constructs that can describe these patterns. The value reference via dynamic variable declaration making it possible to describe arbitrary relations between schema entities. Each schema entity can be mapped with a parameterizable template, allowing flexible transformation to other formats. The language processor is implemented and evaluated against real-world non-uniform CSV datasets. The results show that CSV-X can effectively process CSVs with non-uniform patterns into more advance data model in RDF.",Data models;Data structures;Engines;Resource description framework;Semantics;Tools,CSV Schema;Linked Data;Non-Uniform CSV;Open Data;RDF,W. Chaochaisit; K. Sakamura; N. Koshizuka; M. Bessho,"Interfaculty Initiative in Inf. Studies, Univ. of Tokyo, Tokyo, Japan","2016 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)",20170504,,,795,804,,Electronic:978-1-5090-5880-8; POD:978-1-5090-5881-5,10.1109/iThings-GreenCom-CPSCom-SmartData.2016.167,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7917195,data handling;high level languages;publishing,CSV-X;RDF serialization;cross-referencing;linked data;linked data enabled schema language;non-uniform CSV;nonuniform CSV enabling annotation;novel schema language;processing engine,,,,,,,,15-18 Dec. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Exposing the Underlying Schema of LOD Sources,2015,"The Linked Data Principles defined by Tim-Berners Lee promise that a large portion of Web Data will be usable as one big interlinked RDF database. Today, with more than one thousand of Linked Open Data (LOD) sources available on the Web, we are assisting to an emerging trend in publication and consumption of LOD datasets. However, the pervasive use of external resources together with a deficiency in the definition of the internal structure of a dataset causes many LOD sources are extremely complex to understand. In this paper, we describe a formal method to unveil the implicit structure of a LOD dataset by building a (Clustered) Schema Summary. The Schema Summary contains all the main classes and properties used within the datasets, whether they are taken from external vocabularies or not, and is conceivable as an RDFS ontology. The Clustered Schema Summary, suitable for large LOD datasets, provides a more high level view of the classes and the properties used by gathering together classes that are object of multiple instantiations.",Cascading style sheets;Data models;Government;Navigation;Ontologies;Resource description framework;Vocabulary,Linked Open Data;RDFS ontology;SPARQL;schema summarization,F. Benedetti; S. Bergamaschi; L. Po,"Dipt. di Ing. Enzo Ferrari, Univ. di Modena e Reggio Emilia, Modena, Italy",2015 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT),20160204,1,,301,304,,Electronic:978-1-4673-9618-9; POD:978-1-4673-9619-6,10.1109/WI-IAT.2015.99,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7396819,cloud computing;ontologies (artificial intelligence);pattern clustering,LOD cloud;Linked Open Data;RDFS ontology;Web;clustered schema summary,,,,10,,,,6-9 Dec. 2015,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Generating interesting Monopoly boards from open data,2012,"With increasing amounts of open data, especially where data can be connected with various additional information resources, new ways of visualizing and making sense of this data become possible and necessary. This paper proposes, discusses and exemplifies the concept of data games, games that allow the player(s) to explore data that is derived from outside the game, by transforming the data into something that can be played with. The transformation takes the form of procedural content generation based on real-world data. As an example of a data game, we describe Open Data Monopoly, a game board generator that uses economic and social indicator data for local governments in the UK. Game boards are generated by first collecting user input on which indicators to use and how to weigh them, as well as what criteria should be used for street selection. Sets of streets are then evolved that maximize the selected criteria, and ordered according to “prosperity�?as defined subjectively by the user. Chance and community cards are created based on auxiliary data about the local political entities.",Cities and towns;Communities;Data visualization;Games;Local government;Monopoly,,M. G. Friberger; J. Togelius,"Department of Computer Science, Malm&#x00F6; University, &#x00D6;stra Varvsgatan 11A, 211 19 Malm&#x00F6;, Sweden",2012 IEEE Conference on Computational Intelligence and Games (CIG),20121206,,,288,295,2325-4270;23254270,Electronic:978-1-4673-1194-6; POD:978-1-4673-1193-9; USB:978-1-4673-1192-2,10.1109/CIG.2012.6374168,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6374168,computer games;data visualisation;social aspects of automation,UK;community cards;data games;data visualization;economic indicator data;game board generator;information resources;local governments;local political entities;monopoly boards;open data monopoly;procedural content generation;social indicator data;street selection,,2,,17,,,,11-14 Sept. 2012,,IEEE,IEEE Conference Publications,,,,,,,,,,,
From one star to three stars: Upgrading legacy open data using crowdsourcing,2015,"Despite recent open data initiatives in many countries, a significant percentage of the data provided is in non-machine-readable formats like image format rather than in a machine-readable electronic format, thereby restricting their usability. This paper describes the first unified framework for converting legacy open data in image format into a machine-readable and reusable format by using crowdsourcing. Crowd workers are asked not only to extract data from an image of a chart but also to reproduce the chart objects in spreadsheets. The properties of the reconstructed chart objects give their data structures including series names and values, which are useful for automatic processing of data by computer. Since results produced by crowdsourcing inherently contain errors, a quality control mechanism was developed that improves the accuracy of extracted tables by aggregating tables created by different workers for the same chart image and by utilizing the data structures obtained from the reproduced chart objects. Experimental results demonstrated that the proposed framework and mechanism are effective.",Computers;Crowdsourcing;Data mining;Data structures;Licenses;Resource description framework;Software,,S. Oyama; Y. Baba; I. Ohmukai; H. Dokoshi; H. Kashima,"Graduate School of Information Science and Technology, Hokkaido University, Kita 14, Nishi 9, Kita-ku, Sapporo, Hokkaido 060-0814, Japan",2015 IEEE International Conference on Data Science and Advanced Analytics (DSAA),20151207,,,1,9,,Electronic:978-1-4673-8273-1; POD:978-1-4673-8274-8,10.1109/DSAA.2015.7344801,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7344801,data handling;electronic publishing;spreadsheet programs,crowdsourcing;image format;legacy open data;machine-readable electronic format;nonmachine-readable formats;quality control mechanism;reconstructed chart objects;spreadsheets,,1,,20,,,,19-21 Oct. 2015,,IEEE,IEEE Conference Publications,,,,,,,,,,,
SPITFIRE: toward a semantic web of things,2011,"The developed world is awash with sensors. However, they are typically locked into unimodal closed systems. To unleash their full potential, access to sensors should be opened such that their data and services can be integrated with data and services available in other information systems, facilitating novel applications and services that are based on the state of the real world. We describe our vision and architecture of a Semantic Web of Things: a service infrastructure that makes the deployment and use of semantic applications involving Internet-connected sensors almost as easy as building, searching, and reading a web page today.",Communication protocols;Ontologies;Resource description framework;Semantics;Sensor phenomena and characterization;Sensors,,D. Pfisterer; K. Romer; D. Bimschas; O. Kleine; R. Mietz; C. Truong; H. Hasemann; A. Kröller; M. Pagel; M. Hauswirth; M. Karnstedt; M. Leggieri; A. Passant; R. Richardson,University of L&#252;beck,IEEE Communications Magazine,20111110,49,11,40,48,0163-6804;01636804,,10.1109/MCOM.2011.6069708,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6069708,semantic Web;sensors,Internet-connected sensors;SPITFIRE;Web page;information systems;semantic Web of things;sensors;unimodal closed systems,,102,1,10,,,,Nov-11,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
Urban Pulse: Capturing the Rhythm of Cities,2017,"Cities are inherently dynamic. Interesting patterns of behavior typically manifest at several key areas of a city over multiple temporal resolutions. Studying these patterns can greatly help a variety of experts ranging from city planners and architects to human behavioral experts. Recent technological innovations have enabled the collection of enormous amounts of data that can help in these studies. However, techniques using these data sets typically focus on understanding the data in the context of the city, thus failing to capture the dynamic aspects of the city. The goal of this work is to instead understand the city in the context of multiple urban data sets. To do so, we define the concept of an “urban pulse�?which captures the spatio-temporal activity in a city across multiple temporal resolutions. The prominent pulses in a city are obtained using the topology of the data sets, and are characterized as a set of beats. The beats are then used to analyze and compare different pulses. We also design a visual exploration framework that allows users to explore the pulses within and across multiple cities under different conditions. Finally, we present three case studies carried out by experts from two different domains that demonstrate the utility of our framework.",Context;Data visualization;Flickr;Topology;Urban areas;Visual analytics,Topology-based techniques;urban data;visual exploration,F. Miranda; H. Doraiswamy; M. Lage; K. Zhao; B. Gonçalves; L. Wilson; M. Hsieh; C. T. Silva,New York University,IEEE Transactions on Visualization and Computer Graphics,20161117,23,1,791,800,1077-2626;10772626,,10.1109/TVCG.2016.2598585,FAPERJ; Google Faculty Award; Kohn Pedersen Fox Associates; Moore-Sloan Data Science Environment at NYU; 10.13039/100000001 - NSF; 10.13039/100004316 - IBM Faculty Award; 10.13039/100004347 - AT&T; 10.13039/100006732 - NYU Center for Urban Science and Progress; 10.13039/100006732 - NYU Tandon School of Engineering; 10.13039/501100003593 - CNPq; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7539380,data visualisation;town and country planning,architects;city planners;multiple cities;multiple temporal resolutions;multiple urban data sets;prominent pulses;spatio-temporal activity;urban pulse;visual exploration framework,,,,,,,20160810,Jan. 2017,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
Towards sustainable urban energy systems: High resolution modelling of electricity and heat demand profiles,2016,"Urban energy systems are attracting more and more attention owing to the challenges as well as potential to make them more sustainable. In particular, decarbonisation may be achieved by deploying a portfolio of multi-energy technologies (electricity, heat, cooling, gas, transport), for both distributed (e.g., PV, heat pumps, electric vehicles, thermal and electrical storage, etc.) and centralised (e.g., community-level or city-level energy systems supplied by cogeneration, trigeneration, etc.) applications. This calls for high resolution modelling from both temporal and spatial perspectives, suitable to capture infrastructure impact and requirements as well as intertemporal characteristics of new technologies (especially for storage). This paper presents an initial investigation into a modelling approach which provides high spatial and temporal electricity and heat demand profiles taking proper account of various consumption characteristics of different customer sectors, with application to the Greater Manchester's metropolitan area. A general framework for evaluating the different performances and requirements of city-level multi-energy system is also presented.",Biological system modeling;Buildings;Energy resolution;Resistance heating;Space heating;Urban areas,energy demand modelling;multi-energy systems;smart city;sustainable energy;urban energy systems,H. Wang; P. Mancarella,"School of Electrical and Electronic Engineering, The University of Manchester, UK",2016 IEEE International Conference on Power System Technology (POWERCON),20161124,,,1,6,,Electronic:978-1-4673-8848-1; POD:978-1-4673-8849-8,10.1109/POWERCON.2016.7754005,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7754005,cogeneration;power consumption;sustainable development,Greater Manchester metropolitan area;cogeneration applications;heat demand profiles;high resolution electricity demand modeling;multienergy technology;sustainable urban energy system;trigeneration applications,,,,,,,,Sept. 28 2016-Oct. 1 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
COSAP: Contract-Oriented Sensor-Based Application Platform,2017,"Research and development on participatory sensing that accumulates a large amount of data acquired from users on the cloud and handles them as big data has proceeded due to the spread of sensor devices with miniaturized and advanced functions typified by smartphones. However, in service configuration models based on the current participatory sensing for which the cloud is a core component, there is a problem in that it is not possible to flexibly distribute information according to the data provisioning policy. In this paper, we propose a new sensor-based application platform based on a service configuration model that does not use a server or a cloud. In addition, we design and implement a contract-oriented information flow protocol, which realizes flexible reflection of the provisioning policy on that platform. Furthermore, we discuss feasibility and scope of the proposed protocol through simulation experiments.",Biomedical monitoring;Clouds;Data models;Protocols;Smart phones;Temperature sensors,Contract protocol;contents flow;mobile ad-hoc network;multi agent system;network service platform;participatory sensing;ubiquitous computing,T. Oide; T. Abe; T. Suganuma,"Society for the Promotion of Science, Tokyo, Japan",IEEE Access,20170602,5,,8261,8275,2169-3536;21693536,,10.1109/ACCESS.2017.2696027,JSPS KAKENHI; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7906594,Big Data;cloud computing,COSAP;big data;contract-oriented information flow protocol;contract-oriented sensor-based application platform;data provisioning policy;participatory sensing;service configuration models;smartphones,,,,,,,20170424,2017,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
The Implementation of open data in Indonesia,2016,"Nowadays, public demands easy access to non-confidential government data, such as public digital information on health, industry, and culture that can be accessed on the Internet. This will lead departments within government to be efficient and more transparent. As the results, rapid development of applications will solve citizens' problems in many sectors. One Data Initiatives is the prove that the Government of Indonesia supports data transparency. This research investigates the implementation of open data in Indonesia based on Tim Berners-Lee five-star rating and open stage model by Kalampokis. The result shows that mostly data in Indonesia is freely available in the Internet, but most of them are not machine-readable and do not support non-proprietary format. The drawback of Indonesia's open data is lack of ability to link the existing data with other data sources. Therefore, Indonesia is still making initial steps with data inventories and beginning to publish key datasets of public interest.",Lead;Portable document format;Resource description framework;Training;Urban areas;Writing;XML,RDF;five-star rating;open data;open stage model;semantic web,D. Gunawan; A. Amalia,"Department of Information Technology, University of Sumatera Utara, Medan, Indonesia",2016 International Conference on Data and Software Engineering (ICoDSE),20170601,,,1,6,,Electronic:978-1-5090-5671-2; POD:978-1-5090-5672-9,10.1109/ICODSE.2016.7936164,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7936164,data handling;government data processing;information retrieval,Government of Indonesia;Kalampokis;Tim Berners-Lee five-star rating;data initiatives;data inventories;data sources;data transparency;nonconfidential government data;open data;open stage model,,,,,,,,26-27 Oct. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Will Graph Data Management Techniques Contribute to the Successful Large-Scale Deployment of Semantic Web Technologies?,2012,"The Semantic Web vision ambitions to create a large-scale, interconnected Web of machine-processable data in addition to the current Web of documents currently available online. Its most recent and visible incarnation - the Linked Data movement1 - is based on three main principles: using dereferenceable Web identifiers (HTTP URIs) to uniquely identify the various pieces of data online; providing semi-structured information - most often using standard formats like RDF [1] and OWL [2] - about the data when dereferencing the corresponding URIs; providing links to other, semantically related pieces of data.",Database languages;Ontologies;Query processing;Resource description framework;Semantics,,P. Cudre-Mauroux,"eXascale Infolab, Univ. of Fribourg, Fribourg, Switzerland",2012 IEEE 28th International Conference on Data Engineering Workshops,20120927,,,213,215,,Electronic:978-0-7695-4748-0; POD:978-1-4673-1640-8,10.1109/ICDEW.2012.76,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6313682,document handling;graph theory;knowledge representation languages;semantic Web,HTTP URL;OWL;RDF;Web documents;dereferenceable Web identifiers;graph data management techniques;large-scale deployment;linked data movement;machine-processable data;semantic Web technology;semistructured information,,0,,21,,,,1-5 April 2012,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Fostering government transparency and public participation through linked open government data: Case study: Indonesian public information service,2014,"Open data refers to data that is freely available in the Internet and can be used, reused, and redistributed without restrictions from copyright or patent. This paper describes our approach to fostering government transparency and public participation through linked open government data (LOGD). We have analyzed how Indonesian Government deals with the open government data issues, and we define its maturity level based on the existing maturity framework. Then, we proposed a conceptual framework advance the Indonesian open government data maturity level to encourage further improvement on the government transparency and public participation. To show the feasibility of our approach, we developed a case study to show how the open data advancement could support the government transparency and public participation. Our case study shows promising result and we are eager to continue working in the area in a bigger scale.",Data models;Education;Government;Joining processes;Portals;Resource description framework;Standards,linked data;open data;open government data;public participation,P. R. Aryan; F. J. Ekaputra; W. D. Sunindyo; S. Akbar,"Institute for Software Technology and Interactive Systems, Vienna University of Technology, Vienna, Austria",2014 International Conference on Data and Software Engineering (ICODSE),20150319,,,1,6,,Electronic:978-1-4799-7996-7; POD:978-1-4799-7997-4,10.1109/ICODSE.2014.7062655,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7062655,Internet;government data processing;open systems;public administration,Indonesian government;Internet;LOGD;conceptual framework;government transparency;linked open government data;public participation,,1,,8,,,,26-27 Nov. 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Implementation of Metadata Quality Metrics and Application on Public Government Data,2013,"Public government data refers to documents and proceedings which are freely available and accessible. Repositories facilitate the collection, publishing and distribution of data in a centralized and possibly standardized way. Metadata is used to catalog and organize the provided data. The operationality and interoperability depends on the metadata quality. In order to measure the efficiency of a repository the metadata quality needs to be quantified. Quality assessment is considered to be most reliable when carried out by a human expert. This approach, however, is not always feasible. Hence, an automatic assessment of the quality of metadata should be pursued. Proposed metrics from the field of metadata quality assessment are taken, implemented and applied to three public government data repositories, namely GovData.de (Germany), data.gov.uk (United Kingdom) and publicdata.eu (Europe). Five quality metrics were applied: completeness, weighted completeness, accuracy, richness of information and accessibility. The metrics and their implementation will be discussed in detail and the results evaluated.",Accuracy;Arrays;Communities;Europe;Government;Licenses;Measurement,ckan;metadata;open data;open government;quality metrics;repositories,K. J. Reiche; E. Höfig,"Inst. of Comput. Sci., Freie Univ. Berlin, Berlin, Germany",2013 IEEE 37th Annual Computer Software and Applications Conference Workshops,20130923,,,236,241,,Electronic:978-1-4799-2159-1; POD:978-1-4799-2160-7,10.1109/COMPSACW.2013.32,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6605795,electronic publishing;government data processing;meta data,Europe;Germany;GovData.de;United Kingdom;data distribution;data publishing;data.gov.uk;interoperability;metadata quality metrics;public government data repositories;publicdata.eu;quality assessment,,2,,9,,,,22-26 July 2013,,IEEE,IEEE Conference Publications,,,,,,,,,,,
A proposed methodology for Semantic Web implementation,2011,"Semantic Web provides precise, timely, searchable and well-define information across different sources of data. However, there is need of solving the problem of interoperability due to everyday increase of data from different sources. Whereby, the resourceful information or data integration between human and machines are needed. Thus, more precisely, this paper addresses an ultimate problem of integrating and utilizing the accurate data on information systems. The proposed methodology of this paper includes: (1) grounded theory that focuses on particular interaction between human and machines, (2) developing the analysis; the research introduces the Software Development Life Cycle (SDLC) approach, from the development to implementation stages, (3) sources of data; for state-of-the-art research, we propose to use MetOcean (Meteorological and Oceanographic) data, and (4) Research instrument which is to set our research into practice where we will build Semantic Web application using Franz AllegroGraph and use SIMILE (Semantic Interoperability of Metadata and Information in Unlike Environments). Finally, we provide the Ontology model of the for the state-of-the-art research in meteorological and Oceanographic domain.",Information systems;Ontologies;Organizations;Resource description framework;Semantics;XML,MetOcean;Oceanographic and Meteorological Data;Ontology;Semantic Web,K. U. Danyaro; J. Jaafar; M. S. Liew,"Department of Computer & Information Sciences, Universiti Teknologi PETRONAS, Seri Iskandar, 31750 Tronoh, Perak, Malaysia",2011 National Postgraduate Conference,20120123,,,1,6,,Electronic:978-1-4577-1884-7; POD:978-1-4577-1882-3,10.1109/NatPC.2011.6136294,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6136294,data integration;geophysics computing;information retrieval;meta data;meteorology;oceanography;ontologies (artificial intelligence);open systems;problem solving;semantic Web;software development management;software maintenance,Franz AllegroGraph;MetOcean data;SDLC approach;SIMILE;data integration;grounded theory;information systems;meteorological and ceanographic data;meteorological domain;oceanographic domain;ontology model;problem solving;resourceful information;searchable information;semantic Web implementation;semantic interoperability of metadata and information in unlike environments;software development life cycle approach;state-of-the-art research;well-define information,,0,,34,,,,19-20 Sept. 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Open Government Data on the Web: A Semantic Approach,2011,"Initiatives of making government data open are continuously gaining interest recently. While this presents immense benefits for increasing transparency, the problem is that the data are frequently offered in heterogeneous formats, missing clear semantics that clarify what the data describe. The data are displayed in ways, which are not always clearly understandable to a broad range of user communities that need to make informed decisions. We address these problems and propose an overall approach, in which raw statistical data independently gathered from the different government institutions are formally and semantically represented, based on an ontology that we present in this paper. We further introduce the approach deployed in publishing these data in alignment with Linked Data principles, as well as present the methods implemented to query single or combined dataset and visualize the results in understandable ways. The introduced approach enables data integration, leading to vast opportunities for information exchange, analysis on combined datasets, simplicity to create mashups, and exploration of innovative ways to use these data creatively.",Data models;Data visualization;Government;Ontologies;Publishing;Resource description framework;Semantics,linked open data;ontology;open government data;semantic web;statistical metadata,J. Hoxha; A. Brahaj,"Inst. of Appl. Inf. & Formal Description Methods (AIFB), Karlsruhe Inst. of Technol., Karlsruhe, Germany",2011 International Conference on Emerging Intelligent Data and Web Technologies,20111114,,,107,113,,Electronic:978-0-7695-4456-4; POD:978-1-4577-0840-4,10.1109/EIDWT.2011.24,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6076428,government data processing;meta data;ontologies (artificial intelligence);semantic Web;statistical analysis,data integration;decision making;government institutions;information analysis;information exchange;linked data principles;ontology;open government data;semantic approach;statistical data;user communities,,9,,9,,,,7-9 Sept. 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Enabling SDMX-based Retrieval and Spatio-statistical Analysis of National Census and Related Datasets,2015,"This paper describes a collaborative project between the Australian Urban Research Infrastructure Network (AURIN), the Australian Bureau of Statistics (ABS), the University of Queensland eResearch Lab and a number of social science research centres across Australia - that provides programmatic access to ABS Census data sets to enable its re-use within a range of research projects. The project successfully demonstrates machine-to-machine access to 2011 Census data through a federated data hub model that dynamically delivers statistical datasets to the research community. Using an SDMX web services approach, combined with advanced data analytics and visualization services available through the AURIN workbench, social scientists are able to manipulate and visualize national census data overlaid with other related data sets through a sophisticated mapping interface. Integrated statistical analysis services (R-based) also enable social scientists to quantify correlations between different demographic and socio-economic parameters. A number of socio-economic use-cases are presented that illustrate how the system enables researchers to understand and quantify changes in industry sectors, labor force needs, employment, population needs and disadvantage, over space and time. The paper also outlines problems and limitations revealed through the demonstrator projects, lessons learnt and areas that will require further effort to deliver optimum access to national census data sets and associated e-social science infrastructure for both the Australian and global social science community.",Australia;Data visualization;Employment;Industries;Metadata;Portals;Web services,SDMX;census data;demographics;e-social science;socio-economics;spatio-statistical analytics,J. Hunter; I. Azeezullah; N. Ward; R. Barker; T. K. Shyy; C. Beer; S. Girvan; A. Nairn; M. Branson; R. Stimson; J. Dentrinos; G. Galang; S. Wallace; C. Pettit,"Sch. of ITEE, Univ. of Queensland, Brisbane, QLD, Australia",2015 IEEE 11th International Conference on e-Science,20151026,,,88,97,,Electronic:978-1-4673-9325-6; POD:978-1-4673-9326-3,10.1109/eScience.2015.9,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7304279,Web services;demography;social sciences computing,ABS Census data sets;Australian Bureau of Statistics;Australian Urban Research Infrastructure Network;National Census;R-based;SDMX Web services;SDMX-based retrieval;University of Queensland;advanced data analytics;associated e-social science infrastructure;data visualization services;demographic parameters;eResearch Lab;federated data hub model;global social science community;integrated statistical analysis services;national census data sets;related datasets;research community;social science research centres;social scientists;socio-economic parameters;socio-economic use-cases;sophisticated mapping interface;spatio-statistical analysis,,,,26,,,,Aug. 31 2015-Sept. 4 2015,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Proposal of a unified BPM model for open data publication,2016,"The Open Government paradigm uses open data as a tool to generate transparency, enabling citizens to access public information, allowing them to participate and collaborate in the democratic and economic development of the country. The process to make available public data is not standardized. There are laws on access to public information known as Freedom of Information (FOI). Based on these laws, some countries are applying the open data approach. The standardization of the data opening process will enable the implementation of reusable open source tools of Electronic Government to expedite the interaction between citizens and government. This paper proposes the design of a unified open data process and its application through a Business Process Management (BPM) model using an open source process management engine.",Government;Law;Licenses;Manuals;Standards,BPM;Electronic Government;Open Data;Open Government,V. E. Lobos; C. Diana López; J. M. Paciello; J. I. Pane,"Polytechnic School, National University of Asuncion, Asuncion, Paraguay",2016 Third International Conference on eDemocracy & eGovernment (ICEDEG),20160428,,,93,98,,Electronic:978-3-9075-8912-0; POD:978-1-5090-2090-4,10.1109/ICEDEG.2016.7461703,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7461703,government data processing;public domain software;public information systems;standardisation,FOI;business process management model;data opening process;democratic development;economic development;electronic government;freedom-of-information;open data publication;open government paradigm;open source process management engine;public information access;reusable open source tools;unified BPM model;unified open data process,,,,21,,,,March 30 2016-April 1 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
