,Unnamed: 0,Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
42,305,Inequality in water supply in India: an assessment using the Gini and Theil indices,"Environment, Development and Sustainability",,,,10.1007/s10668-017-9913-0,Krishna MalakarTrupti MishraAnand Patwardhan,2017,http://link.springer.com/article/10.1007/s10668-017-9913-0,Article
43,306,Open Data Institute/Institute of Direct and Digital Marketing joint event,"Journal of Direct, Data and Digital Marketing Practice",,15.0,2,10.1057/dddmp.2013.55,David Reed,2013,http://link.springer.com/article/10.1057/dddmp.2013.55,Article
44,314,Online platform for applying space–time scan statistics for prospectively detecting emerging hot spots of dengue fever,International Journal of Health Geographics,,15.0,1,10.1186/s12942-016-0072-6,Chien-Chou ChenYung-Chu TengBo-Cheng LinI-Chun FanTa-Chien Chan,2016,http://link.springer.com/article/10.1186/s12942-016-0072-6,Article
45,318,Associations between objectively assessed child and parental physical activity: a cross-sectional study of families with 5–6 year old children,BMC Public Health,,14.0,1,10.1186/1471-2458-14-655,Russell JagoSimon J SebireLesley WoodLaura PoolJesmond ZahraJanice L ThompsonDeborah A Lawlor,2014,http://link.springer.com/article/10.1186/1471-2458-14-655,Article
46,320,How global is U.S. Major League Baseball? A historical and geographic perspective,GeoJournal,,77.0,3,10.1007/s10708-011-9406-x,Ke ChenCharles GunterChunhua Zhang,2012,http://link.springer.com/article/10.1007/s10708-011-9406-x,Article
47,327,Behavior change interventions: the potential of ontologies for advancing science and practice,Journal of Behavioral Medicine,,40.0,1,10.1007/s10865-016-9768-0,Kai R. LarsenSusan MichieEric B. HeklerBryan GibsonDonna Spruijt-MetzDavid AhernHeather Cole-LewisRebecca J. Bartlett EllisBradford HesseRichard P. MoserJean Yi,2017,http://link.springer.com/article/10.1007/s10865-016-9768-0,Article
49,331,Efficiency analysis of non-homogeneous parallel sub-unit systems for the performance measurement of higher education,Annals of Operations Research,,,,10.1007/s10479-017-2586-0,Sanjeet SinghPrabhat Ranjan,2017,http://link.springer.com/article/10.1007/s10479-017-2586-0,Article
50,334,A general approach to the measurement of change in fuzzy concept lattices,Soft Computing,,17.0,12,10.1007/s00500-013-1095-6,T. P. MartinN. H. Abd RahimA. Majidian,2013,http://link.springer.com/article/10.1007/s00500-013-1095-6,Article
51,339,Challenges in predicting invasive reservoir hosts of emerging pathogens: mapping Rhododendron ponticum as a foliar host for Phytophthora ramorum and Phytophthora kernoviae in the UK,Biological Invasions,,15.0,3,10.1007/s10530-012-0305-y,Bethan V. PursePhilipp GraeserKate SearleColin EdwardsCatriona Harris,2013,http://link.springer.com/article/10.1007/s10530-012-0305-y,Article
52,342,"Big Data and Health Economics: Strengths, Weaknesses, Opportunities and Threats",PharmacoEconomics,,34.0,2,10.1007/s40273-015-0306-7,Brendan Collins,2016,http://link.springer.com/article/10.1007/s40273-015-0306-7,Article
53,350,Ontology-based mobile augmented reality in cultural heritage sites: information modeling and user study,Multimedia Tools and Applications,,,,10.1007/s11042-017-4868-6,Hayun KimTamás MatuszkaJea-In KimJungwha KimWoontack Woo,2017,http://link.springer.com/article/10.1007/s11042-017-4868-6,Article
54,352,Navigating Disaster: An Empirical Study of Federal Assistance Following Hurricane Sandy,Eastern Economic Journal,,,,10.1057/s41302-017-0098-x,Laura E. GrubeRosemarie FikeVirgil Henry Storr,2017,http://link.springer.com/article/10.1057/s41302-017-0098-x,Article
55,355,Future technology developments and policy directions for the V-World open platform,Spatial Information Research,,24.0,3,10.1007/s41324-016-0034-x,Byeongsun KimMinwoo JeongDongbin Shin,2016,http://link.springer.com/article/10.1007/s41324-016-0034-x,Article
57,359,Mothers’ views of their preschool child’s screen-viewing behaviour: a qualitative study,BMC Public Health,,16.0,1,10.1186/s12889-016-3440-z,Georgina F. BentleyKatrina M. TurnerRussell Jago,2016,http://link.springer.com/article/10.1186/s12889-016-3440-z,Article
58,364,Analysis of agriculture data using data mining techniques: application of big data,Journal of Big Data,,4.0,1,10.1186/s40537-017-0077-4,Jharna MajumdarSneha NaraseeyappaShilpa Ankalaki,2017,http://link.springer.com/article/10.1186/s40537-017-0077-4,Article
59,366,"The Importance of Regional, System-Wide and Local Spatial Scales in Structuring Temperate Estuarine Fish Communities",Estuaries and Coasts,,37.0,3,10.1007/s12237-013-9720-2,F. J. ValesiniJ. R. TweedleyK. R. ClarkeI. C. Potter,2014,http://link.springer.com/article/10.1007/s12237-013-9720-2,Article
60,367,Big Data in product lifecycle management,The International Journal of Advanced Manufacturing Technology,,81.0,1 - 4,10.1007/s00170-015-7151-x,Jingran LiFei TaoYing ChengLiangjin Zhao,2015,http://link.springer.com/article/10.1007/s00170-015-7151-x,Article
61,369,Towards certified open data in digital service ecosystems,Software Quality Journal,,,,10.1007/s11219-017-9378-2,Anne ImmonenEila OvaskaTuomas Paaso,2017,http://link.springer.com/article/10.1007/s11219-017-9378-2,Article
62,370,The X-mu representation of fuzzy sets,Soft Computing,,19.0,6,10.1007/s00500-014-1302-0,T. P. Martin,2015,http://link.springer.com/article/10.1007/s00500-014-1302-0,Article
63,379,Assessment of the resource base for engineered geothermal systems in Great Britain,Geothermal Energy,,5.0,1,10.1186/s40517-017-0066-z,Jon BusbyRicky Terrington,2017,http://link.springer.com/article/10.1186/s40517-017-0066-z,Article
64,384,Economic growth versus climate balancing: some reflections on the sustainable management of forest resource in India,DECISION,,42.0,2,10.1007/s40622-015-0090-4,Sarmila BanerjeeJayita Bit,2015,http://link.springer.com/article/10.1007/s40622-015-0090-4,Article
65,385,Change mining in evolving fuzzy concept lattices,Evolving Systems,,5.0,4,10.1007/s12530-014-9109-x,T. P. Martin,2014,http://link.springer.com/article/10.1007/s12530-014-9109-x,Article
66,393,The stability of geodemographic cluster assignments over an intercensal period,Journal of Geographical Systems,,18.0,2,10.1007/s10109-016-0226-x,Alexander SingletonMichail PavlisPaul A. Longley,2016,http://link.springer.com/article/10.1007/s10109-016-0226-x,Article
67,395,Sedentary time among spouses: a cross-sectional study exploring associations in sedentary time and behaviour in parents of 5 and 6 year old children,BMC Research Notes,,8.0,1,10.1186/s13104-015-1758-8,Lesley WoodRussell JagoSimon J. SebireJesmond ZahraJanice L. Thompson,2015,http://link.springer.com/article/10.1186/s13104-015-1758-8,Article
68,396,Applications of big data to smart cities,Journal of Internet Services and Applications,,6.0,1,10.1186/s13174-015-0041-5,Eiman Al NuaimiHind Al NeyadiNader MohamedJameela Al-Jaroodi,2015,http://link.springer.com/article/10.1186/s13174-015-0041-5,Article
69,399,Assessing the predictability of different kinds of models in estimating impacts of climatic factors on food grain availability in India,OPSEARCH,,,,10.1007/s12597-017-0314-9,Manojit ChattopadhyaySubrata Kumar Mitra,2017,http://link.springer.com/article/10.1007/s12597-017-0314-9,Article
70,400,The social distributional hypothesis: a pragmatic proxy for homophily in online social networks,Social Network Analysis and Mining,,4.0,1,10.1007/s13278-014-0216-2,Folke MitzlaffMartin AtzmuellerAndreas HothoGerd Stumme,2014,http://link.springer.com/article/10.1007/s13278-014-0216-2,Article
71,405,A study on semantic web design for global national R&D status analysis,Cluster Computing,,17.0,3,10.1007/s10586-013-0299-y,Lee Nam KwonKi Seok ChoiJae Soo KimSung Jin JhunYoung-Kuk Kim,2014,http://link.springer.com/article/10.1007/s10586-013-0299-y,Article
72,413,Anonymisation of geographical distance matrices via Lipschitz embedding,International Journal of Health Geographics,,15.0,1,10.1186/s12942-015-0031-7,Martin KrollRainer Schnell,2016,http://link.springer.com/article/10.1186/s12942-015-0031-7,Article
73,418,Cash-on-hand and demand for credit,Empirical Economics,,52.0,3,10.1007/s00181-016-1213-2,Can Cui,2017,http://link.springer.com/article/10.1007/s00181-016-1213-2,Article
74,420,"A new data science research program: evaluation, metrology, standards, and community outreach",International Journal of Data Science and Analytics,,1.0,3 - 4,10.1007/s41060-016-0016-z,Bonnie J. DorrCraig S. GreenbergPeter FontanaMark PrzybockiMarion Le BrasCathryn PloehnOleg AulovMartial MichelE. Jim GoldenWo Chang,2016,http://link.springer.com/article/10.1007/s41060-016-0016-z,Article
75,424,Spatial variation of different rain systems during El Niño and La Niña periods over India and adjoining ocean,Climate Dynamics,,,,10.1007/s00382-017-3833-4,K. SaikranthiBasivi RadhakrishnaS. K. SatheeshT. Narayana Rao,2017,http://link.springer.com/article/10.1007/s00382-017-3833-4,Article
76,429,A cross-sectional study on health differences between rural and non-rural U.S. counties using the County Health Rankings,BMC Health Services Research,,15.0,1,10.1186/s12913-015-1053-3,Timothy J. AndersonDaniel M. SamanMartin S. LipskyM. Nawal Lutfiyya,2015,http://link.springer.com/article/10.1186/s12913-015-1053-3,Article
77,431,"The Reproductive Ecology of Industrial Societies, Part I",Human Nature,,27.0,4,10.1007/s12110-016-9269-4,Gert StulpRebecca SearLouise Barrett,2016,http://link.springer.com/article/10.1007/s12110-016-9269-4,Article
78,436,"Ownership identity, strategy and performance: Business group affiliates versus independent firms in India",Asia Pacific Journal of Management,,34.0,2,10.1007/s10490-016-9477-9,Sumon Kumar BhaumikSaul EstrinTomasz Mickiewicz,2017,http://link.springer.com/article/10.1007/s10490-016-9477-9,Article
79,437,A method to evaluate the usability of interactive climate change impact decision aids,Climatic Change,,126.0,3 - 4,10.1007/s10584-014-1226-9,Gabrielle Wong-ParodiBaruch FischhoffBen Strauss,2014,http://link.springer.com/article/10.1007/s10584-014-1226-9,Article
80,440,Towards cloud based big data analytics for smart future cities,Journal of Cloud Computing,,4.0,1,10.1186/s13677-015-0026-8,Zaheer KhanAshiq AnjumKamran SoomroMuhammad Atif Tahir,2015,http://link.springer.com/article/10.1186/s13677-015-0026-8,Article
81,444,Real-time processing of spatial attribute information for mobile web based on standard web framework and HTML5,Spatial Information Research,,24.0,2,10.1007/s41324-016-0011-4,Kwangseob KimKiwon Lee,2016,http://link.springer.com/article/10.1007/s41324-016-0011-4,Article
82,450,Biochemical profiles of Indian donkey population located in six different agro-climatic zones,Comparative Clinical Pathology,,25.0,3,10.1007/s00580-016-2242-0,A. K. GuptaSanjay KumarParvati SharmaYash PalR. K. DedarJitender SinghAnuradha BhardwajManoj BrahmaneAjay RautS. C. YadavBirendra Kumar,2016,http://link.springer.com/article/10.1007/s00580-016-2242-0,Article
83,456,Towards a global participatory platform,The European Physical Journal Special Topics,,214.0,1,10.1140/epjst/e2012-01690-3,S. Buckingham ShumK. AbererA. SchmidtS. BishopP. LukowiczS. AndersonY. CharalabidisJ. DomingueS. de FreitasI. DunwellB. EdmondsF. GreyM. HaklayM. JelasityA. KarpištšenkoJ. Kohlhammer,2012,http://link.springer.com/article/10.1140/epjst/e2012-01690-3,Article
84,457,S3QL: A distributed domain specific language for controlled semantic integration of life sciences data,BMC Bioinformatics,,12.0,1,10.1186/1471-2105-12-285,Helena F DeusMiriã C CorreaRomesh StanislausMaria MiragaiaWolfgang MaassHermínia de LencastreRonan FoxJonas S Almeida,2011,http://link.springer.com/article/10.1186/1471-2105-12-285,Article
86,461,"Microplastic Ingestion by Wild and Cultured Manila Clams (Venerupis philippinarum) from Baynes Sound, British Columbia",Archives of Environmental Contamination and Toxicology,,71.0,2,10.1007/s00244-016-0286-4,Katie DavidsonSarah E. Dudas,2016,http://link.springer.com/article/10.1007/s00244-016-0286-4,Article
87,465,Public access to NHS financial information: From a freedom of information regime to full open-book governance?,Social Theory & Health,,13.0,2,10.1057/sth.2014.19,Sean TunneyJane Thomas,2015,http://link.springer.com/article/10.1057/sth.2014.19,Article
88,470,"Implementation of a workflow for publishing citeable environmental data: successes, challenges and opportunities from a data centre perspective",International Journal on Digital Libraries,,18.0,2,10.1007/s00799-016-0175-5,Kathryn A. HarrisonDaniel G. WrightPhilip Trembath,2017,http://link.springer.com/article/10.1007/s00799-016-0175-5,Article
89,476,"Concentrations and isotopic characteristics of atmospheric reactive nitrogen around typical sources in Beijing, China",Journal of Arid Land,,8.0,6,10.1007/s40333-016-0020-0,Jieyun LiuYing ZhangXuejun LiuAohan TangHusen QiuFusuo Zhang,2016,http://link.springer.com/article/10.1007/s40333-016-0020-0,Article
90,477,Agri-health research: what have we learned and where do we go next?,Food Security,,8.0,1,10.1007/s12571-015-0540-z,Fiorella PicchioniLukasz AleksandrowiczMieghan M. BruceSoledad CuevasPaula Dominguez-SalasLili JiaMehroosh Tak,2016,http://link.springer.com/article/10.1007/s12571-015-0540-z,Article
91,481,"Ideas in Public Management Reform for the 2010s. Digitalization, Value Creation and Involvement",Public Organization Review,,15.0,1,10.1007/s11115-013-0253-8,Carsten Greve,2015,http://link.springer.com/article/10.1007/s11115-013-0253-8,Article
92,484,Intra-annual dynamics of water stress in the central Indian Highlands from 2002 to 2012,Regional Environmental Change,,16.0,1,10.1007/s10113-016-1017-0,Benjamin ClarkRuth DeFriesJagdish Krishnaswamy,2016,http://link.springer.com/article/10.1007/s10113-016-1017-0,Article
93,486,Estimating parameters for probabilistic linkage of privacy-preserved datasets,BMC Medical Research Methodology,,17.0,1,10.1186/s12874-017-0370-0,Adrian P. BrownSean M. RandallAnna M. FerranteJames B. SemmensJames H. Boyd,2017,http://link.springer.com/article/10.1186/s12874-017-0370-0,Article
94,490,CITIESData: a smart city data management framework,Knowledge and Information Systems,,,,10.1007/s10115-017-1051-3,Xiufeng LiuAlfred HellerPer Sieverts Nielsen,2017,http://link.springer.com/article/10.1007/s10115-017-1051-3,Article
95,497,Asymmetric impact of rainfall on India’s food grain production: evidence from quantile autoregressive distributed lag model,Theoretical and Applied Climatology,,,,10.1007/s00704-016-1942-3,Debdatta PalSubrata Kumar Mitra,2016,http://link.springer.com/article/10.1007/s00704-016-1942-3,Article
96,502,Why is Data Sharing in Collaborative Natural Resource Efforts so Hard and What can We Do to Improve it?,Environmental Management,,53.0,5,10.1007/s00267-014-0258-2,Carol J. VolkYasmin LuceroKatie Barnas,2014,http://link.springer.com/article/10.1007/s00267-014-0258-2,Article
97,503,Tropospheric ozone pollution in India: effects on crop yield and product quality,Environmental Science and Pollution Research,,24.0,5,10.1007/s11356-016-8178-8,Aditya Abha SinghS. B. Agrawal,2017,http://link.springer.com/article/10.1007/s11356-016-8178-8,Article
98,504,Comparative decision models for anticipating shortage of food grain production in India,Theoretical and Applied Climatology,,,,10.1007/s00704-016-1961-0,Manojit ChattopadhyaySubrata Kumar Mitra,2016,http://link.springer.com/article/10.1007/s00704-016-1961-0,Article
99,505,Four reference models for transparency requirements in information systems,Requirements Engineering,,,,10.1007/s00766-017-0265-y,Mahmood HosseiniAlimohammad ShahriKeith PhalpRaian Ali,2017,http://link.springer.com/article/10.1007/s00766-017-0265-y,Article
100,509,Critical review of elementary flows in LCA data,The International Journal of Life Cycle Assessment,,,,10.1007/s11367-017-1354-3,Ashley EdelenWesley W. IngwersenCristina RodríguezRodrigo A. F. AlvarengaArtur Ribeiro de AlmeidaGregor Wernet,2017,http://link.springer.com/article/10.1007/s11367-017-1354-3,Article
101,511,Introducing prior knowledge for a hybrid accident prediction model,KSCE Journal of Civil Engineering,,21.0,5,10.1007/s12205-016-0495-4,Ali MansourkhakiAbolfazl KarimpourHadi Sadoghi Yazdi,2017,http://link.springer.com/article/10.1007/s12205-016-0495-4,Article
102,515,Effects of local drought condition on public opinions about water supply and future climate change,Climatic Change,,132.0,2,10.1007/s10584-015-1425-z,Jason M. EvansJon CalabriaTatiana BorisovaDiane E. BoellstorfNicki SochackaMichael D. SmolenRobert L. MahlerL. Mark Risse,2015,http://link.springer.com/article/10.1007/s10584-015-1425-z,Article
103,516,The Futurium—a Foresight Platform for Evidence-Based and Participatory Policymaking,Philosophy & Technology,,26.0,3,10.1007/s13347-013-0108-9,Franco Accordino,2013,http://link.springer.com/article/10.1007/s13347-013-0108-9,Article
104,521,Possible impacts of climate change on hydrologic cycle in Slovakia and results of observations in 1951–2007,Biologia,,64.0,3,10.2478/s11756-009-0097-4,Milan LapinMartin GeraJán HrvoĽMarián MeloJán Tomlain,2009,http://link.springer.com/article/10.2478/s11756-009-0097-4,Article
105,523,Microtremor study for evaluating the site response characteristics in the Surat City of western India,Natural Hazards,,,,10.1007/s11069-017-3012-2,A. P. SinghAbhijitsinh ParmarSumer Chopra,2017,http://link.springer.com/article/10.1007/s11069-017-3012-2,Article
107,525,Navigation of interactive sonifications and visualisations of time-series data using multi-touch computing,Journal on Multimodal User Interfaces,,5.0,3 - 4,10.1007/s12193-011-0075-3,Sam FergusonKirsty BeilharzClaudia A. Calò,2012,http://link.springer.com/article/10.1007/s12193-011-0075-3,Article
108,526,Randomised feasibility trial of a teaching assistant led extracurricular physical activity intervention for 9 to 11 year olds: Action 3:30,International Journal of Behavioral Nutrition and Physical Activity,,11.0,1,10.1186/s12966-014-0114-z,Russell JagoSimon J SebireBen DaviesLesley WoodMark J EdwardsKathryn BanfieldKenneth R FoxJanice L ThompsonJane E PowellAlan A Montgomery,2014,http://link.springer.com/article/10.1186/s12966-014-0114-z,Article
109,528,FinTech in Taiwan: a case study of a Bank’s strategic planning for an investment in a FinTech company,Financial Innovation,,2.0,1,10.1186/s40854-016-0037-6,Jui-Long HungBinjie Luo,2016,http://link.springer.com/article/10.1186/s40854-016-0037-6,Article
110,529,Weight status misperceptions among UK adults: the use of self-reported vs. measured BMI,BMC Obesity,,3.0,1,10.1186/s40608-016-0102-8,Eric RobinsonMelissa Oldham,2016,http://link.springer.com/article/10.1186/s40608-016-0102-8,Article
111,536,Experiences of a “semantics smackdown”,Earth Science Informatics,,9.0,3,10.1007/s12145-016-0252-8,Adam M. LeadbetterAdam ShepherdRobert ArkoCynthia ChandlerYanning ChenNkemdirim DockeryRenata FerreiraLinyun FuRobert ThomasPatrick WestStephan Zednik,2016,http://link.springer.com/article/10.1007/s12145-016-0252-8,Article
112,537,Driving public sector innovation using big and open linked data (BOLD),Information Systems Frontiers,,19.0,2,10.1007/s10796-017-9746-2,Marijn JanssenDavid KonopnickiJane L. SnowdonAdegboyega Ojo,2017,http://link.springer.com/article/10.1007/s10796-017-9746-2,Article
114,547,Sedimentary macrofossil records reveal ecological change in English lakes: implications for conservation,Journal of Paleolimnology,,,,10.1007/s10933-017-9941-7,Helen BennionCarl D. SayerStewart J. ClarkeThomas A. DavidsonNeil L. RoseBen GoldsmithRuth RawcliffeAmy BurgessGina ClarkeSimon TurnerEmma Wiik,2017,http://link.springer.com/article/10.1007/s10933-017-9941-7,Article
