,filename,search_term,Item,Type
35,farmers°Ø perceptions of?coexistence between?agriculture and?a?large scale coal seam gas development,opendata.go.ke,Kenya,International Country
36,field survey following the 28 october 2012 haida gwaii tsunami,data.gov.bc.ca,British Columbia,International Regional
37,grassland songbird occurrence on remnant prairie patches is primarily determined by landscape characteristics,nd.gov/gis,North Dakota GIS Hub,US State
38,guyo pastoralism  research  policy and practice  2017  7 13,opendata.go.ke,Kenya,International Country
39,hhs public access,data.dc.gov,District of Columbia,US State
40,high nest survival and productivity of northern lapwings vanellus vanellus breeding on urban brownfield sites,,,
41,houlden et al  bmc public health  2017  17 460,data.gov.uk,United Kingdom,International Country
42,how global is u s  major league baseball  a historical and geographic perspective,data.gov,United States,US
43,i m   ,data.gouv.fr,France,International Country
44,ideas in public management reform for the 2010s  digitalization  value creation and involvement,data.gov,United States,US
45,inequality in water supply in india  an assessment using the gini and theil indices,data.gov.in,India,International Country
46,interactive effects of vegetation type and topographic position on nitrogen availability and loss in a temperate montane ecosystem,utah.gov/data,Utah,US State
47,j arid land  2016  8 6   910   920,data.gov.uk,United Kingdom,International Country
48,jago et al  bmc public health 2014  14 370,data.gov.uk,United Kingdom,International Country
49,jago et al  bmc public health 2014  14 655,data.gov.uk,United Kingdom,International Country
50,lass et al  springerplus 2013  2 124,pub.stat.ee,Estonia,International Country
51,local scale spatial modelling for interpolating climatic temperature variables to predict agricultural plant suitability,dpipwe.tas.gov.au,Tasmania √ê Spatial Data Work,International Regional
52,long range prediction of indian summer monsoon rainfall using data mining and statistical approaches,data.gov.in,India,International Country
53,macadamia domestication in hawai°Æi,,,
54,mcgolrick et al  bmc public health  2016  16 1017,open.canada.ca,Canada,International Country
55,microplastic ingestion by wild and cultured manila clams  venerupis philippinarum  from baynes sound  british columbia,data.gov.bc.ca,British Columbia,International Regional
56,multi element composition of soils of seasonal wetlands across north dakota  usa,nd.gov/gis,North Dakota GIS Hub,US State
57,neighborhood social capital in relation to late hiv diagnosis  linkage to hiv care  and hiv care engagement,,,
58,o r i g i n al ar ti c l e,,,
59,online platform for?applying space®Ctime scan statistics for?prospectively detecting emerging hot spots of?dengue fever,,,
60,ownership identity  strategy and performance  business group affiliates versus independent firms in india,data.gov.in,India,International Country
61,physical and dynamical oceanography of liverpool bay,data.gov.uk,United Kingdom,International Country
62,pirulli et al  geoenvironmental disasters  2017  4 3,,,
63,proposal of new objective measures for mining association rules  cannibalization and unexpectedness,nycopendata,New York City,US City or County
64,r es ear ch,data.gov.uk,United Kingdom,International Country
65,red tape  bribery and government favouritism  evidence from europe,open-data.europa.eu,European Union,International Regional
66,remington et al  population health metrics  2015  13 11,data.gov,United States,US
67,risk matrix approach useful in adapting agriculture to climate change,data.qld.gov.au,Queensland,International Regional
68,robinson and oldham bmc obesity  2016  3 21,data.gov.uk,United Kingdom,International Country
69,sedentary time among spouses  a cross sectional study exploring associations in sedentary time and behaviour in parents of 5 and 6 year old children,data.gov.uk,United Kingdom,International Country
70,sedimentary macrofossil records reveal ecological change in english lakes  implications for conservation,data.gov.uk,United Kingdom,International Country
71,singapore°Øs vehicle quota system and its impact on motorcycles,data.gov.sg,Singapore,International Country
72,singapore°Øs vehicle quota system and its impact on motorcycles,data.gov.in,India,International Country
73,spatial variation of?different rain systems during?el ni?o and?la ni?a periods over?india and?adjoining ocean,data.gov.sg,Singapore,International Country
74,spatial variation of?different rain systems during?el ni?o and?la ni?a periods over?india and?adjoining ocean,data.gov.in,India,International Country
75,the importance of regional  system wide and local spatial scales in structuring temperate estuarine fish communities,data.gov.au,Australia,International Country
76,the influence of community areas  neighborhood clusters  and street segments on the spatial variability of violent crime in chicago,data.cityofchicago.org,Chicago,US City or County
77,the stability of geodemographic cluster assignments over an intercensal period,data.gov.uk,United Kingdom,International Country
78,tropospheric ozone pollution in india  effects on crop yield and product quality,data.gov.in,India,International Country
79,uncovering blind spots in urban carbon management  the role of consumption based carbon accounting in bristol  uk,data.gov.uk,United Kingdom,International Country
80,vreeman et al  bmc medical ethics 2012  13 23,opendata.go.ke,Kenya,International Country
81,vulnerability and exposure to crime  applying risk terrain modeling to the study of assault in chicago,data.cityofchicago.org,Chicago,US City or County
82,will be inserted by the editor,data.gov.au,Australia,International Country
