,filename,search_term,Item,Type,note,title
30,economic growth versus climate balancing  some reflections on the sustainable management of forest resource in india,data.gov.in,India,International Country,,
31,effects of landscape fragmentation and climate on lyme disease incidence in the northeastern united states,data.gov,United States,US,,
32,effects of local drought condition on public opinions about water supply and future climate change,data.gov,United States,US,,
33,ellaway et al  bmc public health  2016  16 756,data.gov.uk,United Kingdom,International Country,,
34,exploring the geophysical and socio economic determinants of land cover changes in eastern mau forest reserve and lake nakuru drainage basin  kenya,opendata.go.ke,Kenya,International Country,,
35,f  vre et al  bmc infectious diseases  2017  17 457,opendata.go.ke,Kenya,International Country,,
36,farmers°Ø perceptions of?coexistence between?agriculture and?a?large scale coal seam gas development,opendata.go.ke,Kenya,International Country,,
37,field survey following the 28 october 2012 haida gwaii tsunami,data.gov.bc.ca,British Columbia,International Regional,,
38,grassland songbird occurrence on remnant prairie patches is primarily determined by landscape characteristics,nd.gov/gis,North Dakota GIS Hub,US State,,
39,guyo pastoralism  research  policy and practice  2017  7 13,opendata.go.ke,Kenya,International Country,,
40,hhs public access,data.dc.gov,District of Columbia,US State,,
41,high nest survival and productivity of northern lapwings vanellus vanellus breeding on urban brownfield sites,open-data.europa.eu,European Union,International Regional,,
42,houlden et al  bmc public health  2017  17 460,data.gov.uk,United Kingdom,International Country,,
43,how global is u s  major league baseball  a historical and geographic perspective,data.gov,United States,US,,
44,i m   ,data.gouv.fr,France,International Country,,
45,ideas in public management reform for the 2010s  digitalization  value creation and involvement,data.gov,United States,US,,
46,inequality in water supply in india  an assessment using the gini and theil indices,data.gov.in,India,International Country,,
47,interactive effects of vegetation type and topographic position on nitrogen availability and loss in a temperate montane ecosystem,utah.gov/data,Utah,US State,,
48,j arid land  2016  8 6   910   920,data.gov.uk,United Kingdom,International Country,,
49,jago et al  bmc public health 2014  14 370,data.gov.uk,United Kingdom,International Country,,
50,jago et al  bmc public health 2014  14 655,data.gov.uk,United Kingdom,International Country,,
51,lass et al  springerplus 2013  2 124,pub.stat.ee,Estonia,International Country,,
52,local scale spatial modelling for interpolating climatic temperature variables to predict agricultural plant suitability,dpipwe.tas.gov.au,Tasmania √ê Spatial Data Work,International Regional,,
53,long range prediction of indian summer monsoon rainfall using data mining and statistical approaches,data.gov.in,India,International Country,,
54,macadamia domestication in hawai°Æi,gis.hicentral.com,Hawaii GIS,Other State Related,,
55,mcgolrick et al  bmc public health  2016  16 1017,open.canada.ca,Canada,International Country,,
56,microplastic ingestion by wild and cultured manila clams  venerupis philippinarum  from baynes sound  british columbia,data.gov.bc.ca,British Columbia,International Regional,,
57,multi element composition of soils of seasonal wetlands across north dakota  usa,nd.gov/gis,North Dakota GIS Hub,US State,,
58,neighborhood social capital in relation to late hiv diagnosis  linkage to hiv care  and hiv care engagement,opendataphilly.org,Philadelphia,US City or County,,
59,o r i g i n al ar ti c l e,data.gov,United States,US,,
60,online platform for?applying space®Ctime scan statistics for?prospectively detecting emerging hot spots of?dengue fever,data.gov,United States,US,,
61,ownership identity  strategy and performance  business group affiliates versus independent firms in india,data.gov.in,India,International Country,,
62,physical and dynamical oceanography of liverpool bay,data.gov.uk,United Kingdom,International Country,,
63,pirulli et al  geoenvironmental disasters  2017  4 3,territorio.provincia.tn.it/portal,Trento,International Regional,,The failure of the Stava Valley tailings dams (Northern Italy): numerical analysis of the flow dynamics and rheological properties
64,proposal of new objective measures for mining association rules  cannibalization and unexpectedness,nycopendata,New York City,US City or County,,
65,r es ear ch,data.gov.uk,United Kingdom,International Country,,
66,red tape  bribery and government favouritism  evidence from europe,open-data.europa.eu,European Union,International Regional,,
67,remington et al  population health metrics  2015  13 11,data.gov,United States,US,,
68,risk matrix approach useful in adapting agriculture to climate change,data.qld.gov.au,Queensland,International Regional,,
69,robinson and oldham bmc obesity  2016  3 21,data.gov.uk,United Kingdom,International Country,,
70,sedentary time among spouses  a cross sectional study exploring associations in sedentary time and behaviour in parents of 5 and 6 year old children,data.gov.uk,United Kingdom,International Country,,
71,sedimentary macrofossil records reveal ecological change in english lakes  implications for conservation,data.gov.uk,United Kingdom,International Country,,
72,singapore°Øs vehicle quota system and its impact on motorcycles,data.gov.sg,Singapore,International Country,,
73,singapore°Øs vehicle quota system and its impact on motorcycles,data.gov.in,India,International Country,,
74,spatial variation of?different rain systems during?el ni?o and?la ni?a periods over?india and?adjoining ocean,data.gov.sg,Singapore,International Country,,
75,spatial variation of?different rain systems during?el ni?o and?la ni?a periods over?india and?adjoining ocean,data.gov.in,India,International Country,,
76,the importance of regional  system wide and local spatial scales in structuring temperate estuarine fish communities,data.gov.au,Australia,International Country,,
77,the influence of community areas  neighborhood clusters  and street segments on the spatial variability of violent crime in chicago,data.cityofchicago.org,Chicago,US City or County,,
78,the stability of geodemographic cluster assignments over an intercensal period,data.gov.uk,United Kingdom,International Country,,
79,tropospheric ozone pollution in india  effects on crop yield and product quality,data.gov.in,India,International Country,,
80,uncovering blind spots in urban carbon management  the role of consumption based carbon accounting in bristol  uk,data.gov.uk,United Kingdom,International Country,,
81,vreeman et al  bmc medical ethics 2012  13 23,opendata.go.ke,Kenya,International Country,,
82,vulnerability and exposure to crime  applying risk terrain modeling to the study of assault in chicago,data.cityofchicago.org,Chicago,US City or County,,
83,will be inserted by the editor,data.gov.au,Australia,International Country,,
84,The political economy of the disability,data.gov,United States,US,,
