,search_term,Link,Item,Type
46,niagarafalls.ca/services/open/data,http://www.niagarafalls.ca/services/open/data,Niagara Falls,International Regional
47,data.rennes-metropole.fr,http://www.data.rennes-metropole.fr/,Rennes,International Regional
48,data.jyvaskyla.fi,http://data.jyvaskyla.fi/,JyvŠskylŠ,International Regional
49,raleighnc.gov/open,http://www.raleighnc.gov/open/,Raleigh,US City or County
50,surrey.ca/city-services,http://www.surrey.ca/city-services/658.aspx,Surrey,International Regional
51,cityofboston.gov/maps,http://www.cityofboston.gov/maps/,Boston Enterprise GIS,US City or County
52,data.cityofmadison.com,https://data.cityofmadison.com/,Madison,US City or County
53,daten.hamburg.de,http://daten.hamburg.de/,Hamburg,International Regional
54,data.illinois.gov/ssmm,https://data.illinois.gov/ssmma,Illinois South Suburban Mayors and Managers,Other State Related
55,data.brisbane.qld.gov.au/index.php/datasets,http://data.brisbane.qld.gov.au/index.php/datasets/,Brisbane,International Regional
56,data.illinois.gov,http://data.illinois.gov/,Illinois,US State
57,dados.gov.br,http://dados.gov.br/,Brazil,International Country
58,lemans.fr,http://www.lemans.fr/page.do?t=2&uuid=16CB26C7-550EA533-5AE8381B-D7A64AF8,Le Mans,International Regional
59,data.buenosaires.gob.ar,http://data.buenosaires.gob.ar/,"Buenos Aires, Argentina",International Regional
60,digitaliser.dk,http://digitaliser.dk/,Denmark,International Country
61,ncopenbook.gov/NCOpenBook,http://www.ncopenbook.gov/NCOpenBook/,NC OpenBook,US City or County
62,ncopenbook.gov/NCOpenBook,http://www.ncopenbook.gov/NCOpenBook/,Niederšsterreich,International Regional
63,ncopenbook.gov,http://www.ncopenbook.gov/NCOpenBook/,NC OpenBook,US City or County
64,ncopenbook.gov,http://www.ncopenbook.gov/NCOpenBook/,Niederšsterreich,International Regional
65,data.wellingtonfl.gov,https://data.wellingtonfl.gov/,Wellington,US City or County
66,london.ca/d.aspx?s=/Open_Data/Data_Catalogue,http://www.london.ca/d.aspx?s=/Open_Data/Data_Catalogue.htm,London,International Regional
67,data.burlingtonvt.gov,https://data.burlingtonvt.gov/,Burlington,US City or County
68,data.gov.bc.ca,http://www.data.gov.bc.ca/,British Columbia,International Regional
69,data.angers.fr,http://data.angers.fr/,Angers,International Regional
70,nanaimo.ca/datafeed,http://www.nanaimo.ca/datafeeds,Nanaimo,International Regional
71,birmingham.gov.uk/open-data,http://www.birmingham.gov.uk/open-data,Birmingham,International Regional
72,data.go.jp,http://www.data.go.jp/,Japan,International Country
73,pamplona.es/verPagina,http://pamplona.es/verPagina.asp?IdPag=1519&Idioma=1,Pamplona,International Regional
74,data.nsw.gov.au,http://data.nsw.gov.au/,New South Wales,International Regional
75,data.gov.ph,http://data.gov.ph/,PhilippinesÊ,International Country
76,govinfo.nlc.gov.cn,http://govinfo.nlc.gov.cn/,China,International Country
77,comune.torino.it/aperto,http://www.comune.torino.it/aperto,Turin,International Regional
78,hri.fi/en/about/open-data,http://www.hri.fi/en/about/open-data/,Helsinki Region Infoshare,International Regional
79,opendata71.fr,http://www.opendata71.fr/,Sa™ne-et-Loire,International Regional
80,datameti.go.jp,http://datameti.go.jp/,METI,International Regional
81,researchdata.ands.org.au,http://researchdata.ands.org.au/,Research Data,International Regional
82,zwgk.dl.gov.cn,http://zwgk.dl.gov.cn/default.jse,Dailan,International Regional
83,datos.gob.es,http://datos.gob.es/,Spain,International Country
84,tampere.fi/avoindata,http://tampere.fi/avoindata,Tampere,International Regional
85,pub.stat.ee,http://pub.stat.ee/px-web.2001/Dialog/statfile1.asp,Estonia,International Country
86,opendata.provincia.roma.it,http://www.opendata.provincia.roma.it/,Rome (Province),International Regional
87,datos.gob.mx,http://datos.gob.mx/,Mexico,International Country
88,donnees.ville.montreal.qc.ca,http://donnees.ville.montreal.qc.ca/,Montreal,International Regional
89,dati.piemonte.it,http://www.dati.piemonte.it/,Piedmont,International Regional
90,openbooks.az.gov/app/transparency,http://openbooks.az.gov/app/transparency/index.html,Arizona,US State
91,data.maryland.gov,https://data.maryland.gov/,Maryland,US State
92,opendata.peelregion.ca,http://opendata.peelregion.ca/,Region of Peel,International Regional
93,sardegnageoportale.it/index.htm,http://www.sardegnageoportale.it/index.html,Sardinia,International Regional
94,a2gov.org/data,http://www.a2gov.org/data/,Ann Arbor,US City or County
95,cabq.gov/abq-data,http://www.cabq.gov/abq-data/,Albuquerque,US City or County
96,trafford.gov.uk/opendata,http://www.trafford.gov.uk/opendata/,Trafford Council,International Regional
97,geodata.gov.gr/geodata,http://geodata.gov.gr/geodata/,Greece,International Country
98,opendata.hauts-de-seine.net,http://opendata.hauts-de-seine.net/,Hauts-de-Seine,International Regional
99,floridahasarighttoknow.com,http://www.floridahasarighttoknow.com/,Florida,US State
100,data.mosman.nsw.gov.au,http://data.mosman.nsw.gov.au/,Mosman Council,International Regional
101,dati.comune.milano.it,http://dati.comune.milano.it/,Milan,International Regional
102,niagararegion.ca/government/opendata,http://www.niagararegion.ca/government/opendata/default.aspx,Niagara Region,International Regional
103,data.ca.gov,http://data.ca.gov/,California,US State
104,bahrain.bh/wps/portal/data,http://www.bahrain.bh/wps/portal/data/,Bahrain,International Country
105,cms.burlington.ca,http://cms.burlington.ca/Page7429.aspx,Burlington,International Regional
106,daten.berlin.de,http://daten.berlin.de/,Berlin,International Regional
107,os.amsterdam.nl,http://www.os.amsterdam.nl/,Amsterdam O+S,International Regional
108,data.gov.be,http://data.gov.be/,Belgium,International Country
109,data.mos.ru,http://data.mos.ru/,Moscow,International Regional
110,data.southbendin.gov,https://data.southbendin.gov/,South Bend,US City or County
111,data.hawaii.gov,http://data.hawaii.gov/,Hawaii,US State
112,dati.toscana.it,http://dati.toscana.it/,Tuscany,International Regional
113,data.gov.sk,http://data.gov.sk/,Slovak Republic,International Country
114,lichfielddc.gov.uk,http://lichfielddc.gov.uk/,Lichfield,International Regional
115,offenedaten.moers.de,http://www.offenedaten.moers.de/,Moers,International Regional
116,data.gov.sg,http://data.gov.sg/,Singapore,International Country
117,data.sa.gov.au,http://data.sa.gov.au,South Australia,International Regional
118,opendata.larochelle.fr,http://www.opendata.larochelle.fr/,La Rochelle,International Regional
119,wyre.gov.uk/opendata,http://www.wyre.gov.uk/opendata,Wyre Council,International Regional
120,opendata.paris.fr,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp,Paris,International Regional
121,wiki.state.ma.us/confluence,https://wiki.state.ma.us/confluence/display/data/Open+Data+Initiative+Home,Massachusetts,US State
122,data.gov.za,http://data.gov.za/,South Africa,International Country
123,delaware.gov/data,http://www.delaware.gov/data/,Delaware,US State
124,texastransparency.org/opendata,http://www.texastransparency.org/opendata/index.php,Texas Transparency,Other State Related
125,rdno.ca/index.php/maps/digital-data,http://www.rdno.ca/index.php/maps/digital-data,North Okanagan,International Regional
126,toronto.ca/open,http://www.toronto.ca/open,Toronto,International Regional
127,budget.gov.ru/data,http://budget.gov.ru/data/opendata,Russian Open Budget,International Regional
128,data.edmonton.ca,http://data.edmonton.ca/,Edmonton,International Regional
129,data.gouv.qc.ca,http://data.gouv.qc.ca/?node=/accueil,QuŽbec (Province),International Regional
130,data.norge.no,http://data.norge.no/,Norway,International Country
131,data.cityofpaloalto.org,http://data.cityofpaloalto.org/,Palo Alto,US City or County
132,data.oregon.gov,http://data.oregon.gov/,Oregon,US State
133,risp.asturias.es,http://risp.asturias.es/catalogo/index.html,Asturias,International Regional
134,xn--ppnadata-m4a.se,http://xn--ppnadata-m4a.se/,Sweden,International Country
135,maps.amsterdam.nl/open_geodata,http://maps.amsterdam.nl/open_geodata/,Open GEO-Data (Amsterdam),International Regional
136,open.sd.gov,http://open.sd.gov/,South Dakota,US State
137,portal.louisvilleky.gov/service/data,http://portal.louisvilleky.gov/service/data,Louisville,US City or County
138,tn.gov/opengov,http://www.tn.gov/opengov/,Tennessee,US State
139,data.qld.gov.au,https://data.qld.gov.au/,Queensland,International Regional
140,satupemerintah.net,http://satupemerintah.net/,Indonesia,International Country
141,data.bloomington.in.gov,https://data.bloomington.in.gov/,"Bloomington, Indiana",US City or County
142,w20.bcn.cat/opendata,http://w20.bcn.cat/opendata/,Barcelona,International Regional
143,tirol.gv.at/applikationen/e-government/data,http://www.tirol.gv.at/applikationen/e-government/data/,Tyrol,International Regional
144,data.gov.au,http://data.gov.au/,Australia,International Country
145,transparency.ohio.gov,http://transparency.ohio.gov/,Ohio,US State
146,ok.gov/about/data,http://www.ok.gov/about/data.html,Oklahoma,US State
147,data.vancouver.ca,http://data.vancouver.ca/,Vancouver,International Regional
148,data.openpolice.ru,http://data.openpolice.ru/,Russian Open Police,International Regional
149,stats.indiana.edu,http://www.stats.indiana.edu/,Indiana,US State
150,datagm.org.uk,http://www.datagm.org.uk/,Great Manchester,International Regional
151,governoaberto.sp.gov.br,http://www.governoaberto.sp.gov.br/view/,Sao Paulo,International Regional
152,datos.gob.cl,http://datos.gob.cl/,Chile,International Country
153,data.gov.in,http://data.gov.in/,India,International Country
154,dados.novohamburgo.rs.gov.br,https://dados.novohamburgo.rs.gov.br//,Novo Hamburgo,International Regional
155,ontario.ca/government/government-ontario-open-data,http://www.ontario.ca/government/government-ontario-open-data,Ontario,International Regional
156,data.gov.ro,http://data.gov.ro/,Romania,International Country
157,data.gov.ua,http://data.gov.ua/,Ukraine,International Country
158,bahiablanca.opendata.junar.com,http://bahiablanca.opendata.junar.com/home/,Bah’a Blanca,International Regional
159,data.iowa.gov,http://data.iowa.gov/,Iowa,US State
160,dadosabertos.senado.gov.br,http://dadosabertos.senado.gov.br/,Brazilian Federal Senate,International Regional
161,data.mo.gov,http://data.mo.gov/,Missouri,US State
162,opendata.lasvegasnevada.gov,https://opendata.lasvegasnevada.gov/,Las Vegas,US City or County
163,suomi.fi/suomifi/tyohuone/yhteiset_palvelut/avoin_data,http://www.suomi.fi/suomifi/tyohuone/yhteiset_palvelut/avoin_data/,Finland,International Country
164,opendata.go.ke,http://opendata.go.ke/,Kenya,International Country
165,data.go.kr,http://www.data.go.kr/,Republic of Korea,International Country
166,data.gv.at,http://data.gv.at/,Austria,International Country
167,fredericton.ca/en/citygovernment/DataMain.as,http://www.fredericton.ca/en/citygovernment/DataMain.asp,Fredericton,International Regional
168,nysenate.gov/opendata,http://www.nysenate.gov/opendata/,NY State Senate,Other State Related
169,data.vorarlberg.gv.at,http://data.vorarlberg.gv.at/,Vorarlberg,International Regional
170,data.scottsdaleaz.gov,http://data.scottsdaleaz.gov/,Scottsdale,US City or County
171,transparency.gov.tl,http://www.transparency.gov.tl/,Timor Leste,International Country
172,openregina.cloudapp.net,http://openregina.cloudapp.net/,Regina,International Regional
173,data.honolulu.gov,https://data.honolulu.gov/,Honolulu,US City or County
174,data.act.gov.au,https://www.data.act.gov.au/,Australian Capital Territory,International Regional
175,data.cityofboston.gov,https://data.cityofboston.gov/,Boston,US City or County
176,data.vermont.gov,https://data.vermont.gov/,Vermont,US State
177,apileipzig.de,http://www.apileipzig.de/,Leipzig,International Regional
178,sunshineportalnm.com,http://www.sunshineportalnm.com/,New Mexico,US State
179,gis.hicentral.com,http://gis.hicentral.com/,Hawaii GIS,Other State Related
180,datos.argentina.gob.ar,http://datos.argentina.gob.ar/,Argentina ,International Country
181,dpipwe.tas.gov.au,http://www.dpipwe.tas.gov.au/sif,Tasmania Ð Spatial Data Work,International Regional
182,princegeorge.ca/cityservices/online,http://princegeorge.ca/cityservices/online/odc/Pages/Documents.aspx,Prince George,International Regional
183,datos.gub.uy,http://datos.gub.uy/,Uruguay,International Country
184,data.gov.uk,http://data.gov.uk/,United Kingdom,International Country
185,opendata.service-bw.de/Seiten,http://opendata.service-bw.de/Seiten/default.aspx,Baden-WŸrttemberg,International Regional
186,mn.gov/portal,http://mn.gov/portal/,Minnesota,US State
187,civicinfo.bc.ca,http://www.civicinfo.bc.ca/,British Columbia Local Government,International Regional
188,dadesobertes.gencat.cat,http://dadesobertes.gencat.cat/,Catalonya,International Regional
189,merton.gov.uk/council/dp-foi/opendata,http://www.merton.gov.uk/council/dp-foi/opendata.htm,Merton Council,International Regional
190,opendata.gov.sl,http://opendata.gov.sl/,Sierra Leone,International Country
191,data.csiro.au,https://data.csiro.au/dap/home?execution=e1s1,CSIRO,International Regional
192,saanich.ca/data,http://www.saanich.ca/data/catalogue/index.php,Saanich,International Regional
193,opendata.jccm.es,http://opendata.jccm.es/,Castilla-La Mancha,International Regional
194,mapyourtaxes.mo.gov,http://mapyourtaxes.mo.gov/MAP/Portal/Default.aspx,Missouri Accountability Portal,Other State Related
195,data.overheid.nl,http://data.overheid.nl/,Netherlands,International Country
196,mississauga.ca/portal/residents,http://www.mississauga.ca/portal/residents/publicationsopendatacatalogue,Mississauga,International Regional
197,dati.camera.it/it,http://dati.camera.it/it/,Chamber of Deputies,International Regional
198,dati.camera.it/it,http://dati.camera.it/it/,Italian Parliament,International Regional
199,data.alberta.ca,http://data.alberta.ca/,Alberta,International Regional
200,opendata.provincia.lucca.it,http://opendata.provincia.lucca.it/,Lucca,International Regional
201,data.indy.gov,http://data.indy.gov/,Indianapolis/Marion County,US City or County
202,opendata.montpelliernumerique.fr,http://opendata.montpelliernumerique.fr/,Montpellier,International Regional
203,datacatalogs.org/catalog/allerdal,http://datacatalogs.org/catalog/allerdale,Allerdale,International Regional
204,datacatalogs.org,http://datacatalogs.org/catalog/allerdale,Allerdale,International Regional
205,planning.sa.gov.au,http://www.planning.sa.gov.au/index.cfm?objectid=1C5C4F6F-96B8-CC2B-67DE3073BF2AE0EC,South Australia Spatial Planning,International Regional
206,tol.ca/Services-Contact/Open-Data,http://www.tol.ca/Services-Contact/Open-Data/Open-Data-Catalogue,Langley,International Regional
207,opengovdata.ru,http://opengovdata.ru/,Russia,International Country
208,oman.om/opendata,http://www.oman.om/opendata,Oman,International Country
209,opendatacatalog.ashevillenc.gov,http://opendatacatalog.ashevillenc.gov/,Asheville,US City or County
210,montevideo.gub.uy/institucional/datos-abiertos,http://www.montevideo.gub.uy/institucional/datos-abiertos/introduccion,Montevideo,International Regional
211,data.ny.gov,https://data.ny.gov/,New York,US State
212,data.fingal.ie,http://data.fingal.ie/,Fingal,International Regional
213,dati.senato.it,http://dati.senato.it/,Italy Senate,International Regional
214,data.graz.gv.at,http://data.graz.gv.at/,Graz,International Regional
215,data.loire-atlantique.fr,http://data.loire-atlantique.fr/,Loire-Atlantique,International Regional
216,govdata.de,https://www.govdata.de/,Germany,International Country
217,data.wa.gov,http://data.wa.gov/,Washington,US State
218,maine.gov/data,http://www.maine.gov/data/,Maine,US State
219,wakegov.com/data,http://www.wakegov.com/data/Pages/default.aspx,Wake County,US City or County
220,data.cityofchicago.org,http://data.cityofchicago.org/,Chicago,US City or County
221,data.redbridge.gov.uk,http://data.redbridge.gov.uk/,Redbridge,International Regional
222,dados.gov.pt/pt/inicio,http://www.dados.gov.pt/pt/inicio/inicio.aspx,Portugal,International Country
223,data.montgomerycountymd.gov,https://data.montgomerycountymd.gov/,Montgomery County,US City or County
224,data.gov.tn,http://www.data.gov.tn/,Tunisia,International Country
225,open-data.pref.shizuoka.jp,http://open-data.pref.shizuoka.jp/htdocs/,Shizuoka Prefecture(Shizuoka),International Regional
226,tx-weatherford2.civicplus.com,http://tx-weatherford2.civicplus.com/index.aspx?NID=1448,Weatherford,US City or County
227,opendata.waterloo.ca,http://opendata.waterloo.ca/,Waterloo,International Regional
228,health.data.ny.gov,https://health.data.ny.gov/,NY Department of Health,Other State Related
229,data.dc.gov,http://data.dc.gov/,District of Columbia,US State
230,datosabiertos.jcyl.es,http://www.datosabiertos.jcyl.es/,Junta de Castilla y Le—n,International Regional
231,data.stadt-zuerich.ch,http://data.stadt-zuerich.ch/content/portal/de/index/ogd/daten.html,Zurich,International Regional
232,data.medicinehat.ca,http://data.medicinehat.ca/,Medicine Hat,International Regional
233,hamilton.ca/ProjectsInitiatives/OpenData,http://www.hamilton.ca/ProjectsInitiatives/OpenData/,Hamilton,International Regional
234,statcentral.ie,http://www.statcentral.ie/,Ireland,International Country
235,gis.atlantaga.gov,http://gis.atlantaga.gov/,Atlanta,US City or County
236,munlima.gob.pe/datos-abiertos-mml,http://www.munlima.gob.pe/datos-abiertos-mml.html,Lima,International Regional
237,data.gov.tt,http://data.gov.tt/,Trinidad and Tobago,International Country
238,dati.comune.firenze.it,http://dati.comune.firenze.it/,Florence,International Regional
239,gov.hk/en/theme/psi/datasets,http://www.gov.hk/en/theme/psi/datasets/,Hong Kong,International Country
240,dati.puglia.it,http://www.dati.puglia.it/,Puglia,International Regional
241,transparency.ct.gov,http://transparency.ct.gov/html/main.asp,Connecticut,US State
242,open-data.europa.eu,http://open-data.europa.eu/,European Union,International Regional
243,data.datamontana.us,https://data.datamontana.us/browse,Montana,US State
244,datos.bcn.cl,http://datos.bcn.cl/es/,Library of the National Congress,International Regional
245,odaa.dk,http://www.odaa.dk/,Aarhus,International Regional
246,data.somervillema.gov,http://data.somervillema.gov/,Somerville,US City or County
247,data.kcmo.org,https://data.kcmo.org/,Kansas City,US City or County
248,datos.misiones.gov.ar,http://www.datos.misiones.gov.ar/,"Misiones Province, Argentina",International Regional
249,controllerdata.lacity.org,https://controllerdata.lacity.org/browse,Los Angeles,US City or County
250,open.unhabitat.org,http://open.unhabitat.org/,Open UN-Habitat Transparency Initiative,International Regional
251,opendataphilly.org,http://www.opendataphilly.org/,Philadelphia,US City or County
252,data.vic.gov.au,http://www.data.vic.gov.au/,Victoria,International Regional
253,open.stockholm.se,http://open.stockholm.se/,Stockholm,International Regional
254,data.cityofsantacruz,http://data.cityofsantacruz.com/,Santa Cruz,US City or County
255,data.gov.gh,http://data.gov.gh,Ghana,International Country
256,datasf.org,http://www.datasf.org/,San Francisco,US City or County
257,opendata.enschede.nl,http://opendata.enschede.nl/,Enschede,International Regional
258,opendata.aragon.es,http://opendata.aragon.es/,Aragon,International Regional
259,donnees.ville.quebec.qc.ca,http://donnees.ville.quebec.qc.ca/,QuŽbec (City),International Regional
260,dati.trentino.it,http://dati.trentino.it/,Trentino,International Regional
261,utah.gov/data,http://www.utah.gov/data/,Utah,US State
262,northdevon.gov.uk/index/lgcl_council_government_and_democracy/nonlgcl_open_data,http://www.northdevon.gov.uk/index/lgcl_council_government_and_democracy/nonlgcl_open_data.htm,North Devon Council,International Regional
263,data.wien.gv.at,http://data.wien.gv.at/,Vienna,International Regional
264,manchester.gov.uk/info/500215/open_data,http://www.manchester.gov.uk/info/500215/open_data,Manchester,International Regional
265,data.cookcountyil.gov,http://data.cookcountyil.gov/,Cook County,US City or County
266,opendata.euskadi.net,http://opendata.euskadi.net/,Euskadi (Basque Country),International Regional
267,opendata.comune.bari.it,http://opendata.comune.bari.it/,Bari,International Regional
268,datalocale.fr,http://datalocale.fr/,Aquitaine and Gironde,International Regional
269,datos.gov.co,www.datos.gov.co,Colombia,International Country
270,opendata.nbs.gov.ae,http://opendata.nbs.gov.ae/,United Arab Emirates,International Country
271,data.codeforhouston.com,http://data.codeforhouston.com/,Houston,US City or County
272,citywindsor.ca/opendata,http://www.citywindsor.ca/opendata/pages/open-data-catalogue.aspx,Windsor,International Regional
273,datakc.org,http://www.datakc.org/,King County,US City or County
274,open.alabama.gov,http://open.alabama.gov/,Alabama,US State
275,opendata.antwerpen.be,http://opendata.antwerpen.be/,Antwerp,International Regional
276,ri.gov/data,http://www.ri.gov/data/,Rhode Island,US State
277,nhopengovt.org,http://nhopengovt.org/,New Hampshire,US State
278,nyc.gov/data,http://www.nyc.gov/data/,New York City,US City or County
279,badalona.cat/portalWeb/badalona.portal,http://badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=opendata,Badalona,International Regional
280,www1.minfin.ru/ru,http://www1.minfin.ru/ru/,Ministry of Finances,International Regional
281,abertos.xunta.es,http://abertos.xunta.es/portada/,Galicia,International Regional
282,data.seoul.go.kr,http://data.seoul.go.kr/,Seoul,International Regional
283,dati.emilia-romagna.it,http://dati.emilia-romagna.it/,Emilia-Romagna Open Data,International Regional
284,nebraska.gov/data,http://www.nebraska.gov/data/,Nebraska,US State
285,doa.louisiana.gov,http://wwwprd.doa.louisiana.gov/LaTrac/portal.cfm,Louisiana,US State
286,data.nola.gov,http://data.nola.gov/,New Orleans,US City or County
287,dati.venezia.it,http://dati.venezia.it/,Venice,International Regional
288,data.providenceri.gov,https://data.providenceri.gov/,Providence,US City or County
289,datosperu.org,http://www.datosperu.org/,Peru,International Country
290,data.gov.md,http://data.gov.md/,Moldova,International Country
291,data.gov.sa,http://www.data.gov.sa/,Saudi Arabia,International Country
292,daten.bremen.de,http://www.daten.bremen.de/,Bremen,International Regional
293,open.georgia.gov,http://www.open.georgia.gov/,Georgia,US State
294,alkmaar.nl/opendata,http://www.alkmaar.nl/opendata,Alkmaar,International Regional
295,datosabiertos.gob.go.cr,http://datosabiertos.gob.go.cr,Costa Rica,International Country
296,civicapps.org/datasets,http://civicapps.org/datasets/,Portland,US City or County
297,opendata.terrassa.cat,http://opendata.terrassa.cat/,Terrassa,International Regional
298,esd.ny.gov/NYSDataCenter,http://esd.ny.gov/NYSDataCenter.html,New York State Data Center,Other State Related
299,navarra.es/home_es/Open-Data,http://www.navarra.es/home_es/Open-Data/,Navarre,International Regional
300,kansas.gov/KanView,http://www.kansas.gov/KanView/,Kansas,US State
301,dati.lombardia.it,https://dati.lombardia.it/,Lombardy,International Regional
302,comune.udine.it/opencms/opencms/release/ComuneUdine/comune/Bilanci_comunali/open_data,http://www.comune.udine.it/opencms/opencms/release/ComuneUdine/comune/Bilanci_comunali/open_data,Udine,International Regional
303,data.smcgov.org,https://data.smcgov.org/,San Mateo County,US City or County
304,geoweb.dnv.org/data,http://geoweb.dnv.org/data/,District of North Vancouver,International Regional
305,michigan.gov/data,http://www.michigan.gov/data/,Michigan,US State
306,data.grandtoulouse.fr,http://data.grandtoulouse.fr/,Toulouse,International Regional
307,data.gov,,United States,US
