,Publication Title,All Science Classification Codes (ASJC),Item Title,Publication Year,in/out,use types,census,notes
48,Applied Energy,2308; 2210; 2100; 2215; 2205; ,Geospatial assessment of potential bioenergy crop production on urban marginal land,2015,in,main data source for new analysis,,multi-source
49,Applied Energy,2308; 2210; 2100; 2215; 2205; ,Cost to produce and deliver cellulosic feedstock to a biorefinery: Switchgrass and forage sorghum,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
50,Applied Geography,1409; 2300; 3305; 1107; ,"Socio-economic aspects of domestic groundwater consumption, vending and use in Kisumu, Kenya",2015,in,Providing study background,y,
51,Applied Geography,1409; 2300; 3305; 1107; ,Methods and participatory approaches for identifying social-ecological hotspots,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
52,Applied Geography,1409; 2300; 3305; 1107; ,Exploring Bus Rapid Transit passenger travel behaviour using big data,2014,in,main data source for new analysis,,
53,Applied Geography,1409; 2300; 3305; 1107; ,Spatial analysis of graffiti in San Francisco,2014,in,main data source for new analysis,y,
54,Applied Geography,1409; 2300; 3305; 1107; ,"Can community gardens and farmers' markets relieve food desert problems? A study of Edmonton, Canada",2014,in,aiding result interpreting,y,
55,Applied Geography,1409; 2300; 3305; 1107; ,Applying a novel urban structure classification to compare the relationships of urban structure and surface temperature in Berlin and New York City,2014,in,main data source for new analysis,,
57,Applied Health Economics and Health Policy,2719; 2002; 2700; ,Cost effectiveness of romiplostim for the treatment of chronic immune thrombocytopenia in Ireland,2013,in,"ancillary data source for new analysis (e.g., as base map)",,
58,Applied Spatial Analysis and Policy,3305; ,Vulnerability and Exposure to Crime: Applying Risk Terrain Modeling to the Study of Assault in Chicago,2016,in,main data source for new analysis,,
59,Aquatic Sciences,2312; 2303; 1104; 1105; ,Are long-term fish assemblage changes in a large US river related to the Asian Carp invasion? Test of the hostile take-over and opportunistic dispersal hypotheses,2017,in,aiding result interpreting,,
60,Architectural Research Quarterly,1213; 2216; ,The Wire as speculative research,2014,in,others,,
61,Archives of Disease in Childhood,2735; ,Who comes back with what: A retrospective database study on reasons for emergency readmission to hospital in children and young people in England,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
62,Archives of Disease in Childhood,2735; ,Mortality of babies enrolled in a community-based support programme: CONI PLUS (Care of Next Infant Plus),2015,in,"ancillary data source for new analysis (e.g., as base map)",,
63,Archives of Disease in Childhood,2735; ,Childhood vaccination coverage by ethnicity within London between 2006/2007 and 2010/2011,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
65,Archives of Environmental Contamination and Toxicology,2307; 2310; 3005; 2700; ,"Microplastic Ingestion by Wild and Cultured Manila Clams (Venerupis philippinarum) from Baynes Sound, British Columbia",2016,in,main data source for new analysis,,
66,Archives of Public Health,2739; ,Leisure time physical activity in Estonian population: Adherence to physical activity recommendations and relationships with overweight,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
67,Asia Pacific Journal of Management,1408; 2001; 1403; ,"Ownership identity, strategy and performance: Business group affiliates versus independent firms in India",2017,in,"used for result evaluation (e.g., as ground truth)",,
68,Asian Pacific Journal of Cancer Prevention,1306; 2739; 2730; 2713; ,Relationships between social support and social image concerns in Turkish women with breast cancer,2015,in,Providing study background,,
69,Asian Pacific Journal of Tropical Medicine,2700; ,Temporal patterns of dengue epidemics: The case of recent outbreaks in Kaohsiung,2017,in,main data source for new analysis,,
70,Asian Politics and Policy,3320; 3312; ,Religion and Revolution: Theorizing of the Arab Spring in Accordance With the Selectorate Approach,2017,in,Providing study background,,
71,Asia-Pacific Journal of Clinical Oncology,2730; 2700; ,Clinicopathological predictors of benefit from adjuvant chemotherapy for stage C colorectal cancer: Microsatellite unstable cases benefit,2015,in,main data source for new analysis,,
72,Atmospheric Chemistry and Physics,1902; ,Current estimates of biogenic emissions from eucalypts uncertain for southeast Australia,2016,in,main data source for new analysis,,
73,Atmospheric Chemistry and Physics,1902; ,An inverse modeling method to assess the source term of the Fukushima Nuclear Power Plant accident using gamma dose rate observations,2013,in,"used for result evaluation (e.g., as ground truth)",,
74,Atmospheric Environment,1902; 2300; ,The impact of inland ships and recreational boats on measured NO x and ultrafine particle concentrations along the waterways,2012,in,Providing study background,,
75,Atmospheric Environment,1902; 2300; ,Predicting vehicular emissions in high spatial resolution using pervasively measured transportation data and microscopic emissions model,2016,in,Providing study background,,
76,Atmospheric Environment,1902; 2300; ,"Inversion structure and winter ozone distribution in the Uintah Basin, Utah, U.S.A.",2015,in,main data source for new analysis,,
80,Atmospheric Measurement Techniques,1902; ,A mobile sensor network to map carbon dioxide emissions in urban environments,2017,in,main data source for new analysis,,
81,Atmospheric Pollution Research,1902; 2310; 2311; ,Emissions from burning municipal solid waste and wood in domestic heaters,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
82,Australian Accounting Review,1402; ,"Board Characteristics, Firm Profitability and Earnings Management: Evidence from India",2017,in,"ancillary data source for new analysis (e.g., as base map)",,
83,Australian Economic Review,2002; ,Gender Issues in an Ageing Society,2016,in,others,,
84,Australian Geographer,1904; 3305; ,"Food security, remoteness and consolidation of supermarket distribution centres: Factors contributing to food pricing inequalities across Queensland, Australia",2016,in,main data source for new analysis,,
85,Australian Journal of Basic and Applied Sciences,1000; ,Effect of plant density and cattle manure on some agronomic traits of sweet corn under different culture methods,2011,in,Providing study background,,
86,Australian Journal of Botany,1110; 1105; ,"Demographic, dispersal, predation and genetic data reveal the potential vulnerability of an endangered rainforest shrub, Triunia robusta (Proteaceae)",2017,in,Providing study background,,
87,Australian Journal of Education,3304; ,Increasing urban Indigenous students' attendance: Mitigating the influence of poverty through community partnership,2016,in,Providing study background,,
88,Australian Journal of Political Science,3312; ,"Agricultural policy in Australia: deregulation, bipartisanship and agrarian sentiment",2016,in,others,,
89,Australian Journal of Primary Health,2739; 2719; ,Analysis of public dental service waiting lists in Queensland,2015,in,main data source for new analysis,,
90,Australian Journal of Primary Health,2739; 2719; ,"Impact of initiatives to reduce public dental waiting lists in Queensland, Australia",2015,in,main data source for new analysis,,almost identical with the above article
91,Australian Journal of Public Administration,3321; 3312; ,"The Concept of 'Merit' in Australia, China and Taiwan",2015,in,others,,may not be a research article.
92,Autism,3204; ,US state variation in autism insurance mandates: Balancing access and fairness,2014,in,main data source for new analysis,,
93,Autonomous Agents and Multi-Agent Systems,1702; ,A comparison of multiple behavior models in a simulation of the aftermath of an improvised nuclear detonation,2016,in,main data source for new analysis,,
95,Avian Conservation and Ecology,2309; 1103; 2303; 1105; ,"Habitat associations with counts of declining Western Grebes in Alberta, Canada [Associations entre l'habitat et les d茅nombrements de Gr猫be 茅l茅gant, une esp猫ce en diminution en Alberta, Canada]",2017,in,main data source for new analysis,,
96,Avian Conservation and Ecology,2309; 1103; 2303; 1105; ,"Projected responses of North American grassland songbirds to climate change and habitat availability at their northern range limits in Alberta, Canada [R茅actions projet茅es de passereaux de prairie Nord-Am茅ricains aux changements climatiques et 脿 la disponibilit茅 de l鈥檋abitat 脿 la limite nord de leur aire en Alberta, Canada]",2016,in,main data source for new analysis,,
97,Baltic Forestry,1107; ,Forest sector impacts from the increased use of wood in energy production in Estonia,2012,in,Providing study background,,"full text pdf is damaged, cant be parsed. "
98,Basic and Applied Ecology,1105; ,A Kenyan endemic bird species Turdoides hindei at home in invasive thickets,2015,in,Providing study background,,
99,Behavioral Disorders,3203; 3204; 3304; ,Juvenile delinquency recidivism: Are black and white youth vulnerable to the same risk factors?,2015,in,aiding result interpreting,,
100,Biodiversity and Conservation,2309; 2303; 1105; ,Beyond prime areas of nature protection in East Africa: conservation ecology of a narrowly distributed Kenyan endemic bird species,2015,in,Providing study background,y,multi-source
101,Biodiversity and Conservation,2309; 2303; 1105; ,Maggengo meadow patches enclosed by forests in the Italian Alps: Evidence of landscape legacy on plant diversity,2011,in,main data source for new analysis,,seems the author also produced the OGD used.
102,Biodiversity and Conservation,2309; 2303; 1105; ,Potential conflict between future development of natural resources and high-value wildlife habitats in boreal landscapes,2016,in,main data source for new analysis,,
103,Biogeosciences,1904; 1105; ,An introduction to the Australian and New Zealand flux tower network - OzFlux,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
104,Biogeosciences,1904; 1105; ,Carbon sequestration in managed temperate coniferous forests under climate change,2016,in,main data source for new analysis,,
105,Biogeosciences,1904; 1105; ,Divergence of seafloor elevation and sea level rise in coral reef ecosystems,2017,in,main data source for new analysis,,
106,Biogeosciences,1904; 1105; ,Sources and transformations of anthropogenic nitrogen along an urban river-estuarine continuum,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
107,Biological Conservation,2309; 1105; ,One step ahead of the plow: Using cropland conversion risk to guide Sprague's Pipit conservation in the northern Great Plains,2015,in,main data source for new analysis,,
108,Biological Conservation,2309; 1105; ,Witnessing extinction - Cumulative impacts across landscapes and the future loss of an evolutionarily significant unit of woodland caribou in Canada,2015,in,main data source for new analysis,,
109,Biological Control,1109; 1102; ,"Meligethes aeneus oviposition preferences, larval parasitism rate and species composition of parasitoids on Brassica nigra, Raphanus sativus and Eruca sativa compared with on Brassica napus",2014,in,Providing study background,,
110,Biological Invasions,2303; 1105; ,Challenges in predicting invasive reservoir hosts of emerging pathogens: mapping Rhododendron ponticum as a foliar host for Phytophthora ramorum and Phytophthora kernoviae in the UK,2013,in,main data source for new analysis,,
111,Biological Journal of the Linnean Society,1105; ,Morphological and genetic analysis of sympatric dace within the Rhinichthys cataractae species complex: A case of isolation lost,2016,in,main data source for new analysis,,
112,Biology and Environment,1100; 2300; ,Nutrient load apportionment to support the identification of appropriate water framework directive measures,2016,in,main data source for new analysis,,
113,Bird Study,2309; 1105; ,Landscape traits can contribute to range limit equilibrium: Habitat constraints refine potential range of an edge population of Black-headed Bunting Emberiza melanocephala,2015,in,main data source for new analysis,,
114,BJOG: An International Journal of Obstetrics and Gynaecology,2729; ,"Selective serotonin reuptake inhibitor prescribing before, during and after pregnancy: A population-based study in six European regions",2015,in,aiding result interpreting,,
115,BJU International,2748; ,A trial of devices for urinary incontinence after treatment for prostate cancer,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
116,BJU International,2748; ,Cost-effectiveness of single-dose tamsulosin and dutasteride combination therapy compared with tamsulosin monotherapy in patients with benign prostatic hyperplasia in the UK,2013,in,"ancillary data source for new analysis (e.g., as base map)",,
117,Blood Transfusion,2720; 2700; 2723; ,Hepatitis E virus infections in travellers: Assessing the threat to the Australian blood supply,2017,in,main data source for new analysis,,
118,BMC Anesthesiology,2703; ,Cost effectiveness of epidural steroid injections to manage chronic lower back pain,2012,in,"ancillary data source for new analysis (e.g., as base map)",,
119,BMC Dermatology,2708; ,Improved emollient use reduces atopic eczema symptoms and is cost neutral in infants: Before-and-after evaluation of a multifaceted educational support programme,2013,in,"ancillary data source for new analysis (e.g., as base map)",,
120,BMC Ecology,2300; 1105; ,"Surveying the citizen science landscape: An exploration of the design, delivery and impact of citizen science through the lens of the Open Air Laboratories (OPAL) programme",2016,in,"ancillary data source for new analysis (e.g., as base map)",,
121,BMC Health Services Research,2719; ,The policy-practice gap: Describing discordances between regulation on paper and real-life practices among specialized drug shops in Kenya,2014,in,Providing study background,,
122,BMC Health Services Research,2719; ,"A qualitative study of the current state of heart failure community care in Canada: What can we learn for the future? Organization, structure and delivery of healthcare",2015,in,Providing study background,,
123,BMC Health Services Research,2719; ,A cross-sectional study on health differences between rural and non-rural U.S. counties using the County Health Rankings,2015,in,main data source for new analysis,,
124,BMC Health Services Research,2719; ,Are performance measurement systems useful? Perceptions from health care,2017,in,main data source for new analysis,,
125,BMC Infectious Diseases,2725; ,"Social encounter profiles of greater Melbourne residents, by location - a telephone survey",2015,in,"ancillary data source for new analysis (e.g., as base map)",,
126,BMC Infectious Diseases,2725; ,"An integrated study of human and animal infectious disease in the Lake Victoria crescent small-holder crop-livestock production system, Kenya",2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",y,
128,BMC International Health and Human Rights,2739; ,Forced residential mobility and social support: impacts on psychiatric disorders among Somali migrants,2012,in,"ancillary data source for new analysis (e.g., as base map)",,
129,BMC Medical Education,3304; 2700; ,Predictive power of UKCAT and other pre-admission measures for performance in a medical school in Glasgow: A cohort study,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
130,BMC Medical Ethics,2719; 3306; 2910; ,Adapting ethical guidelines for adolescent health research to street-connected children and youth in low- and middle-income countries: A case study from western Kenya,2015,in,Providing study background,,
131,BMC Medical Ethics,2719; 3306; 2910; ,A qualitative study using traditional community assemblies to investigate community perspectives on informed consent and research participation in western Kenya,2012,in,Providing study background,,
132,BMC Medical Informatics and Decision Making,2718; 2719; ,"Detecting referral and selection bias by the anonymous linkage of practice, hospital and clinic data using Secure and Private Record Linkage (SAPREL): Case study from the evaluation of the Improved Access to Psychological Therapy (IAPT) service",2011,in,"ancillary data source for new analysis (e.g., as base map)",,multi-source
133,BMC Medical Research Methodology,2718; 2713; ,Estimating parameters for probabilistic linkage of privacy-preserved datasets,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
134,BMC Medicine,2700; ,"Ready-to-use therapeutic food with elevated n-3 polyunsaturated fatty acid content, with or without fish oil, to treat severe acute malnutrition: A randomized controlled trial",2015,in,"ancillary data source for new analysis (e.g., as base map)",,
135,BMC Medicine,2700; ,Evaluating vaccination strategies for reducing infant respiratory syncytial virus infection in low-income settings,2015,in,main data source for new analysis,,
136,BMC Nephrology,2727; ,The financial impact of increasing home-based high dose haemodialysis and peritoneal dialysis,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
137,BMC Oral Health,3500; ,Developing a model to assess community level risk of oral diseases for planning public dental services in Australia,2016,in,main data source for new analysis,,
138,BMC Pediatrics,2735; ,Variation in and risk factors for paediatric inpatient all-cause mortality in a low income setting: Data from an emerging clinical information network,2017,in,aiding result interpreting,,
139,BMC Pediatrics,2735; ,Predictors for early introduction of solid food among Danish mothers and infants: An observational study,2014,in,Providing study background,,appeared in related work citing a survey data
140,BMC Pregnancy and Childbirth,2729; ,How UK internet websites portray breast milk expression and breast pumps: A qualitative study of content,2015,in,Providing study background,,
141,BMC Pregnancy and Childbirth,2729; ,Maternal depression in Syrian refugee women recently moved to Canada: A preliminary study,2017,in,Providing study background,,
142,BMC Psychiatry,2738; ,"Affective concordance in couples: A cross-sectional analysis of depression and anxiety consultations within a population of 13,507 couples in primary care",2017,in,"ancillary data source for new analysis (e.g., as base map)",,
143,BMC Psychiatry,2738; ,Variation by ethnic group in premature mortality risk following self-harm: A multicentre cohort study in England,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
144,BMC Psychiatry,2738; ,"Evaluation of a system of structured, pro-active care for chronic depression in primary care: A randomised controlled trial",2010,in,"ancillary data source for new analysis (e.g., as base map)",,
145,BMC Public Health,2739; ,Use of a knowledge broker to establish healthy public policies in a city district: A developmental evaluation,2016,in,Providing study background,,
146,BMC Public Health,2739; ,Raising awareness of carrier testing for hereditary haemoglobinopathies in high-risk ethnic groups in the Netherlands: A pilot study among the general public and primary care providers,2009,in,Providing study background,,
147,BMC Public Health,2739; ,How parents perceive screen viewing in their 5-6 year old child within the context of their own screen viewing time: a mixed-methods study,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
148,BMC Public Health,2739; ,Penile cancer treatment costs in England,2015,in,main data source for new analysis,,
149,BMC Public Health,2739; ,The cost of anal cancer in England: Retrospective hospital data analysis and Markov model,2014,in,"ancillary data source for new analysis (e.g., as base map)",,tarrif
150,BMC Public Health,2739; ,"Association between body mass index and health-related quality of life, and the impact of self-reported long-term conditions - Cross-sectional study from the south Yorkshire cohort dataset",2013,in,"ancillary data source for new analysis (e.g., as base map)",,
151,BMC Public Health,2739; ,Caught between a rock and a hard place: mental health of migrant live-in caregivers in Canada,2017,in,Providing study background,,
152,BMC Public Health,2739; ,"Perceptions of environmental health risks among residents in the ""toxic Doughnut"": Opportunities for risk screening and community mobilization Environmental health",2015,in,Providing study background,,
153,BMC Public Health,2739; ,Associations between access to recreational physical activity facilities and body mass index in Scottish adults,2016,in,main data source for new analysis,,
154,BMC Public Health,2739; ,Associations between objectively assessed child and parental physical activity: a cross-sectional study of families with 5鈥? year old children,2014,in,main data source for new analysis,,
155,BMC Public Health,2739; ,Mothers鈥?views of their preschool child鈥檚 screen-viewing behaviour: a qualitative study,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
156,BMC Public Health,2739; ,"School travel mode, parenting practices and physical activity among UK Year 5 and 6 children",2014,in,"ancillary data source for new analysis (e.g., as base map)",,
157,BMC Public Health,2739; ,A cross-sectional analysis of green space prevalence and mental wellbeing in England,2017,in,main data source for new analysis,land use data,
158,BMC Public Health,2739; ,Evaluation of self-swabbing coupled with a telephone health helpline as an adjunct tool for surveillance of influenza viruses in Ontario,2016,in,"used for result evaluation (e.g., as ground truth)",,
159,BMC Research Notes,1300; 2700; ,Diabetes care: Reasons for missing HbA1cmeasurements in general practice,2011,in,aiding result interpreting,,
160,BMC Research Notes,1300; 2700; ,An evaluation of a multi-component adult weight management on referral intervention in a community setting,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
161,BMC Research Notes,1300; 2700; ,Sedentary time among spouses: a cross-sectional study exploring associations in sedentary time and behaviour in parents of 5 and 6聽year old children,2015,in,main data source for new analysis,,
162,BMJ Open,2700; ,"Estimation of perinatal mortality rate for institutional births in Rajasthan state, India, using capture-recapture technique",2015,in,Providing study background,,
163,BMJ Open,2700; ,Interrupting transmission of soiltransmitted helminths: A study protocol for cluster randomised trials evaluating alternative treatment strategies and delivery systems in Kenya,2015,in,Providing study background,,
164,BMJ Open,2700; ,Understanding the delayed prescribing of antibiotics for respiratory tract infection in primary care: A qualitative analysis,2016,in,Providing study background,,
165,BMJ Open,2700; ,Service factors causing delay in specialist assessment for TIA and minor stroke: A qualitative study of GP and patient perspectives,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
166,BMJ Open,2700; ,Can analyses of electronic patient records be independently and externally validated? Study 2 - The effect of 尾-adrenoceptor blocker therapy on cancer survival: A retrospective cohort study,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
167,BMJ Open,2700; ,Comparison of patients diagnosed with gonorrhoea through community screening with those self-presenting to the genitourinary medicine clinic,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
168,BMJ Open,2700; ,The association between neighbourhood greenspace and type 2 diabetes in a large cross-sectional study,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
169,BMJ Open,2700; ,The impact of chronic kidney disease and cardiovascular comorbidity on mortality in a multiethnic population: A retrospective cohort study,2013,in,"ancillary data source for new analysis (e.g., as base map)",,
170,BMJ Open,2700; ,Does an intensive self-management structured education course improve outcomes for children and young people with type 1 diabetes? The Kids In Control OF Food (KICk-OFF) clusterrandomised controlled trial protocol,2013,in,Providing study background,,
171,BMJ Open,2700; ,"Predicting tuberculosis risk in the foreign-born population of British Columbia, Canada: Study protocol for a retrospective population-based cohort study",2016,in,Providing study background,,
172,BMJ Open,2700; ,"Patient-physician mistrust and violence against physicians in Guangdong Province, China: A qualitative study",2015,in,Providing study background,,
173,Bone and Joint Journal,2700; ,Cost-effectiveness of volar locking plate versus percutaneous fixation for distal radial fractures: Economic evaluation alongside a randomised clinical trial,2015,in,main data source for new analysis,,
174,Boston University Law Review,3308; ,"The inverse relationship between the constitutionality and effectiveness of New York City ""stop and frisk""",2014,in,main data source for new analysis,,used as an evidence to test proposed theory
175,British Dental Journal,3500; ,The medical and dental attendance pattern of patients attending general dental practices in Warwickshire and their general health risk assessment,2012,in,aiding result interpreting,,
176,British Journal of Cancer,1306; 2730; ,Impact of cervical screening on cervical cancer mortality: Estimation using stage-specific results from a nested case-control study,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
177,British Journal of Cancer,1306; 2730; ,Cancer symptom awareness and barriers to symptomatic presentation in England-are we clear on cancer?,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
178,British Journal of Cancer,1306; 2730; ,Identifying patients at risk of emergency admission for colorectal cancer,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
179,British Journal of Cancer,1306; 2730; ,Risk factors for delay in symptomatic presentation: A survey of cancer patients,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
180,British Journal of Cancer,1306; 2730; ,Is lack of surgery for older breast cancer patients in the UK explained by patient choice or poor health A prospective cohort study,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
