Item Title,Publication Year,Publication Title,in/out,use types,census,notes,,,,,,,,,,,,,,,
Facial features monitoring for real time drowsiness detection,2017,"Proceedings of the 2016 12th International Conference on Innovations in Information Technology, IIT 2016",In,"Providing study background (describing study area or population, support a claim in introduction/motivation)",,,,,,,,,,,,,,,,,
Exergy optimization of cooling tower for HGSHP and HVAC applications,2017,Energy Conversion and Management,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Adoption disclosure: experiences of Indian domestic adoptive parents,2017,Child and Family Social Work,in,Providing study background,,,,,,,,,,,,,,,,,
Learning to stand on their own: contradictory media representations of Burmese refugees by nonprofit organizations,2017,Critical Studies in Media Communication,in,Providing study background,,,,,,,,,,,,,,,,,
"Modern technologies in public administration management: A comparison of Estonia, India and United Kingdom",2017,Administratie si Management Public,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Assessment of interstate freight vehicle characteristics and impact of future emission and fuel economy standards on their emissions in India,2017,Energy Policy,in,Providing study background,,,,,,,,,,,,,,,,,
Regression Models of Highway Traffic Crashes: A Review of Recent Research and Future Research Needs,2017,Procedia Engineering,in,Providing study background,,,,,,,,,,,,,,,,,
Spatial heterogeneity in projected leprosy trends in India,2015,Parasites and Vectors,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Incorrect attribute value detection for traffic accident data,2015,Proceedings of the International Joint Conference on Neural Networks,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
How did the 2012 drought affect rural livelihoods in vulnerable areas? Empirical evidence from India,2015,International Journal of Disaster Risk Reduction,in,main data source for new analysis,,,,,,,,,,,,,,,,,
IGoSA - A novel framework for analysis of and facilitating government schemes,2015,"2015 IEEE 2nd International Conference on Recent Trends in Information Systems, ReTIS 2015 - Proceedings",in,Providing study background,,,,,,,,,,,,,,,,,
"Strategy of bioenergy development in the largest energy consumers of Asia (China, India, Japan and South Korea)",2015,Energy Strategy Reviews,in,main data source for new analysis,y,,,,,,,,,,,,,,,,
Small hydro power in India: Current status and future perspectives,2015,Renewable and Sustainable Energy Reviews,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Preliminary magnetotelluric results across Dalma Volcanics, Eastern India: Inferences on metallogeny",2015,Journal of Applied Geophysics,in,Providing study background,,,,,,,,,,,,,,,,,
Does neighbourhood count in affecting children's journeys to schools?,2015,Children's Geographies,in,main data source for new analysis,,multi-soures,,,,,,,,,,,,,,,
"Irrigation with treated municipal wastewater in Indiana, United States",2015,Journal of Soil and Water Conservation,in,Providing study background,,,,,,,,,,,,,,,,,
Small business development centers and libraries: A survey,2015,Reference Services Review,in,Providing study background,,appear in lit review,,,,,,,,,,,,,,,
"Time till death study: How soon after ""first contact"" is a non-biologically related male likely to kill his partners child?",2015,Journal of Forensic and Legal Medicine,in,Providing study background,,appear in discussion,,,,,,,,,,,,,,,
Regional infection control assessment of antibiotic resistance knowledge and practice,2015,Infection Control and Hospital Epidemiology,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Irish farms under climate change - Is there a regional variation on farm responses?,2015,Journal of Agricultural Science,in,Providing study background,,,,,,,,,,,,,,,,,
Behaviour of car drivers in accidents used to estimate the benefit of car antilock brake system on indian highways,2015,SAE Technical Papers,in,Providing study background,,OGD used as main source are not covered by search string,,,,,,,,,,,,,,,
Task shifting: A key strategy in the multipronged approach to reduce maternal mortality in India,2015,International Journal of Gynecology and Obstetrics,in,Providing study background,,,,,,,,,,,,,,,,,
Time series forecasting using hybrid arima and ann models based on DWT Decomposition,2015,Procedia Computer Science,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
"A study of the consumption pattern in a continuous water service demonstration zone and bulk water demand forecasting for Hubli-Dharwad, India",2015,Journal of Water Sanitation and Hygiene for Development,in,main data source for new analysis,,,,,,,,,,,,,,,,,
KisanVikas - Android based ICT solution in Indian agriculture to assist farmers,2015,CEUR Workshop Proceedings,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Life-cycle cost and financial analysis of energy components in mass housing projects 鈥?A case project in sub-urban India,2015,International Journal of Sustainable Built Environment,in,main data source for new analysis,,,,,,,,,,,,,,,,,
A review of Biofuels in India: Challenges and opportunities,2015,WEEC 2015 - World Energy Engineering Congress,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Estimation of perinatal mortality rate for institutional births in Rajasthan state, India, using capture-recapture technique",2015,BMJ Open,in,Providing study background,,,,,,,,,,,,,,,,,
Child Poverty and Ecological Contexts of Deprivation and Well-being: A Critical Review of Budgeting and Social Policy in India,2015,Social Policy and Administration,,,,,,,,,,,,,,,,,,,
The iatrogenic epidemic of prescription drug abuse: County-level determinants of opioid availability and abuse,2014,Drug and Alcohol Dependence,,,,,,,,,,,,,,,,,,,
Emerging trends: Apps in event management,2014,"1st International Workshop on Inclusive Web Programming - Programming on the Web with Open Data for Societal Applications, IWP 2014 - Proceedings",in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Effect of fertility on the economics of pasture-based dairy systems,2014,Animal,in,Providing study background,,,,,,,,,,,,,,,,,
Building apps with open data in India: An experience,2014,"1st International Workshop on Inclusive Web Programming - Programming on the Web with Open Data for Societal Applications, IWP 2014 - Proceedings",in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Towards timely public health decisions to tackle seasonal diseases with open government data,2014,AAAI Workshop - Technical Report,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Nurse-led epilepsy follow-up clinic in India: Is it feasible and acceptable to patients? A pilot study,2014,Seizure,in,Providing study background,,,,,,,,,,,,,,,,,
"Incidence, epidemiology, and treatment of aneurysmal subarachnoid hemorrhage in 12 midwest communities",2014,Journal of Stroke and Cerebrovascular Diseases,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Development of prediction equations for early blight leaf spot on tomato under different fungicides treatments,2014,Journal of Agrometeorology,in,Providing study background,,,,,,,,,,,,,,,,,
Political contexts and maternal health policy: Insights from a comparison of south Indian states,2014,Social Science and Medicine,in,"ancillary data source for new analysis (e.g., as base map)",,reasons for a case to be selected.,,,,,,,,,,,,,,,
A nurse-led initiative to improve obstetricians' screening for postpartum depression,2013,Nursing for Women's Health,in,Providing study background,,,,,,,,,,,,,,,,,
Organic carbon stocks in agricultural soils in Ireland using combined empirical and GIS approaches,2013,Geoderma,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Wireless sensor network in mango farming,2013,"2013 Nirma University International Conference on Engineering, NUiCONE 2013",in,Providing study background,,,,,,,,,,,,,,,,,
The potential to reduce the risk of diffuse pollution from agriculture while improving economic performance at farm level,2013,Environmental Science and Policy,in,Providing study background,,,,,,,,,,,,,,,,,
Interdisciplinary decision support dashboard: A new framework for a tanzanian agricultural and ecosystem service monitoring system pilot,2012,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,in,Providing study background,,,,,,,,,,,,,,,,,
Symbolic or substantive policy? Measuring the extent of local commitment to climate protection,2011,Environment and Planning C: Government and Policy,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Detrimental effects of daylight-saving time on SAT scores,2011,"Journal of Neuroscience, Psychology, and Economics",in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Disaster impact analysis based on inter-relationship of critical infrastructure and associated industries: A winter flood disaster event,2010,International Journal of Disaster Resilience in the Built Environment,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The Effect of Food Stamp Nutrition Education on the Food Insecurity of Low-income Women Participants,2009,Journal of Nutrition Education and Behavior,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Conflict and Collisions in Sub-Saharan African Urban Definitions: Interpreting Recent Urbanization Data From Kenya,2017,World Development,in,main data source for new analysis,,,,,,,,,,,,,,,,,
How Much Will It Cost to Monitor Microbial Drinking Water Quality in Sub-Saharan Africa?,2017,Environmental Science and Technology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Diagnostic criteria for severe acute malnutrition among infants aged under 6 mo,2017,American Journal of Clinical Nutrition,in,Providing study background,,,,,,,,,,,,,,,,,
A comparative analysis of agricultural knowledge and innovation systems in Kenya and Ghana: sustainable agricultural intensification in the rural鈥搖rban interface,2017,Agriculture and Human Values,in,Providing study background,,,,,,,,,,,,,,,,,
"Boma fortification is cost-effective at reducing predation of livestock in a high-predation zone in the Western Mara Region, Kenya",2017,Conservation Evidence,in,Providing study background,,,,,,,,,,,,,,,,,
Information hiding and its criteria for evaluation,2017,IEICE Transactions on Information and Systems,in,Providing study background,,,,,,,,,,,,,,,,,
"Authoritative and volunteered geographical information in a developing country: A comparative case study of road datasets in Nairobi, Kenya",2017,ISPRS International Journal of Geo-Information,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Economic implications of mercury exposure in the context of the global mercury treaty: Hair mercury levels and estimated lost economic productivity in selected developing countries,2016,Journal of Environmental Management,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Comparing the validity of the payment card and structured haggling willingness to pay methods: The case of a diabetes prevention program in rural Kenya,2016,Social Science and Medicine,in,Providing study background,,,,,,,,,,,,,,,,,
Gendered division of labour and feminisation of responsibilities in Kenya; implications for development interventions [La divisi贸n del trabajo por g茅nero y la feminizaci贸n de las responsabilidades en Kenia; implicancias para las intervenciones de desarrollo],2016,"Gender, Place and Culture",in,Providing study background,,,,,,,,,,,,,,,,,
"Characterization of size-fractionated particulate matter and deposition fractions in human respiratory system in a typical African city: Nairobi, Kenya",2016,Aerosol and Air Quality Research,in,Providing study background,y,,,,,,,,,,,,,,,,
"A comparison of malaria prevalence, control and management strategies in irrigated and non-irrigated areas in eastern Kenya",2016,Malaria Journal,in,Providing study background,,,,,,,,,,,,,,,,,
Indigenous knowledge of pastoralists on respiratory diseases of camels in northern Kenya,2016,Preventive Veterinary Medicine,in,Providing study background,y,,,,,,,,,,,,,,,,
"The Influence of Human鈥揈lephant Conflict on Electric Fence Management and Perception Among Different Rural Communities in Laikipia County, Kenya",2016,Human Dimensions of Wildlife,in,Providing study background,y,,,,,,,,,,,,,,,,
Psychosocial Stimulation: A Qualitative Study on Kenyan Mother鈥檚 Motives and Challenges to Promote Children鈥檚 Development,2016,Journal of Child and Family Studies,in,Providing study background,y,,,,,,,,,,,,,,,,
"Land use and land cover (LULC) changes in semi-arid sub-watersheds of Laikipia and Athi River basins, Kenya, as influenced by expanding intensive commercial horticulture",2016,Remote Sensing Applications: Society and Environment,in,main data source for new analysis,y,,,,,,,,,,,,,,,,
Influence of Distance to Health Facilities on the Use of Skilled Attendants at Birth in Kenya,2016,Health Care for Women International,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Small ruminant husbandry practices amongst Kajiado and Marsabit pastoralists and their effects on Peste des petits ruminants control strategies,2016,Livestock Research for Rural Development,in,Providing study background,y,,,,,,,,,,,,,,,,
"Museums, Intangible Cultural Heritage, and Changing Societies: The Ber gi dala Exhibition and Cultural Heritage Preservation at the Kisumu Museum, Kenya",2016,Museum International,in,Providing study background,y,,,,,,,,,,,,,,,,
"Spatial distribution and co-infection with urogenital and intestinal schistosomiasis among primary school children in Migori County, Kenya",2016,East African Medical Journal,in,Providing study background,,kenya usages are mostly describing study areas,,,,,,,,,,,,,,,
"Burden of soil transmitted helminthiases in primary school children in Migori County, Kenya",2016,East African Medical Journal,in,Providing study background,,,,,,,,,,,,,,,,,
Photovoice in Kenya: Using a Community-Based Participatory Research Method to Identify Health Needs,2016,Qualitative Health Research,in,Providing study background,,,,,,,,,,,,,,,,,
Aflatoxin exposure among young children in urban low-income areas of Nairobi and association with child growth,2016,"African Journal of Food, Agriculture, Nutrition and Development",in,Providing study background,,,,,,,,,,,,,,,,,
Adapting ethical guidelines for adolescent health research to street-connected children and youth in low- and middle-income countries: A case study from western Kenya,2015,BMC Medical Ethics,in,Providing study background,,,,,,,,,,,,,,,,,
The digital matatu project: Using cell phones to create an open source data for Nairobi's semi-formal bus system,2015,Journal of Transport Geography,in,Providing study background,,,,,,,,,,,,,,,,,
"The nexus of oil, conflict, and climate change vulnerability of pastoral communities in northwest Kenya",2015,Earth System Dynamics,in,Providing study background,y,multi-source,,,,,,,,,,,,,,,
Beyond prime areas of nature protection in East Africa: conservation ecology of a narrowly distributed Kenyan endemic bird species,2015,Biodiversity and Conservation,in,Providing study background,y,multi-source,,,,,,,,,,,,,,,
Managing communication surrounding tungiasis stigma in Kenya,2015,Communicatio,in,Providing study background,,,,,,,,,,,,,,,,,
Open linked data and mobile devices as e-tourism toolsA practical approach to collaborative e-learning,2015,Computers in Human Behavior,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Pump-Priming Payments for Sustainable Water Services in Rural Africa,2015,World Development,in,Providing study background,y,,,,,,,,,,,,,,,,
Prevalence of sexually transmitted infections including HIV in street-connected adolescents in western Kenya,2015,Sexually Transmitted Infections,in,Providing study background,,,,,,,,,,,,,,,,,
"Adult psychotic symptoms, their associated risk factors and changes in prevalence in men and women over a decade in a poor rural district of Kenya",2015,International Journal of Environmental Research and Public Health,in,aiding result interpreting,,,,,,,,,,,,,,,,,
"Ready-to-use therapeutic food with elevated n-3 polyunsaturated fatty acid content, with or without fish oil, to treat severe acute malnutrition: A randomized controlled trial",2015,BMC Medicine,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"A longitudinal study of long-term change in contamination hazards and shallow well quality in two neighbourhoods of Kisumu, Kenya",2015,International Journal of Environmental Research and Public Health,in,Providing study background,,,,,,,,,,,,,,,,,
Evaluating vaccination strategies for reducing infant respiratory syncytial virus infection in low-income settings,2015,BMC Medicine,in,main data source for new analysis,,,,,,,,,,,,,,,,,
A Kenyan endemic bird species Turdoides hindei at home in invasive thickets,2015,Basic and Applied Ecology,in,Providing study background,,,,,,,,,,,,,,,,,
"Socio-economic aspects of domestic groundwater consumption, vending and use in Kisumu, Kenya",2015,Applied Geography,in,Providing study background,y,,,,,,,,,,,,,,,,
"Kericho CLinic-based ART Diagnostic Evaluation (CLADE): Design, accrual, and baseline characteristics of a randomized controlled trial conducted in predominately rural, district-level, HIV Clinics of Kenya",2015,PLoS ONE,in,"ancillary data source for new analysis (e.g., as base map)",,multi-source,,,,,,,,,,,,,,,
Disaggregating census data for population mapping using Random forests with remotely-sensed and ancillary data,2015,PLoS ONE,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Piloting a Healthy Street Food Venture in Kenya: Lessons Learned,2015,Procedia Engineering,in,Providing study background,y,,,,,,,,,,,,,,,,
Is community water management the community's choice? Implications for water and development policy in Africa,2015,Water Policy,in,Providing study background,y,multi-source,,,,,,,,,,,,,,,
"Impact of health workers鈥?strike in august 2014 on health services in mombasa county referral hospital, Kenya",2015,Journal of Health Care for the Poor and Underserved,in,Providing study background,,,,,,,,,,,,,,,,,
"Evaluating the Accuracy and Effectiveness of Criminal Geographic Profiling Methods: The Case of Dandora, Kenya",2015,Professional Geographer,in,Providing study background,,,,,,,,,,,,,,,,,
E-learning in Kenyan universities: Preconditions for successful implementation,2015,Electronic Journal of Information Systems in Developing Countries,in,Providing study background,,,,,,,,,,,,,,,,,
"A rapid assessment of drinking water quality in informal settlements after a cholera outbreak in Nairobi, Kenya",2015,Journal of Water and Health,in,Providing study background,y,,,,,,,,,,,,,,,,
Interrupting transmission of soiltransmitted helminths: A study protocol for cluster randomised trials evaluating alternative treatment strategies and delivery systems in Kenya,2015,BMJ Open,in,Providing study background,,,,,,,,,,,,,,,,,
Feasibility study of using a biogas engine as backup in a decentralized hybrid (PV/wind/battery) power generation system - Case study Kenya,2015,Energy,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Tactical network planning for food aid distribution in Kenya,2015,Computers and Operations Research,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Factors associated with the performance and cost-effectiveness of using lymphatic filariasis Transmission assessment surveys for monitoring soil-transmitted helminths: A case study in Kenya,2015,American Journal of Tropical Medicine and Hygiene,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Etiology of pediatric fever in Western Kenya: A case-control study of falciparum Malaria, Respiratory Viruses, and Streptococcal Pharyngitis",2015,American Journal of Tropical Medicine and Hygiene,in,Providing study background,,,,,,,,,,,,,,,,,
Linkage to and engagement in HIV care in western kenya: An observational study using population-based estimates from home-based counselling and testing,2015,The Lancet HIV,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"On exposure, vulnerability and violence: Spatial distribution of risk factors for climate change and violent conflict across Kenya and Uganda",2014,Political Geography,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Kenya comprehensive school health policy: Lessons from a pilot program,2014,Journal of Public Health in Africa,in,Providing study background,,,,,,,,,,,,,,,,,
"Spatial distribution of greenhouse commercial horticulture in Kenya and the role of demographic, infrastructure and topo-edaphic factors",2014,ISPRS International Journal of Geo-Information,in,main data source for new analysis,y,,,,,,,,,,,,,,,,
"Medicinal plants used in treatment and management of cancer in Kakamega County, Kenya",2014,Journal of Ethnopharmacology,in,Providing study background,,,,,,,,,,,,,,,,,
The public sector nursing workforce in Kenya: A county-level analysis,2014,Human Resources for Health,in,main data source for new analysis,,multi-source,,,,,,,,,,,,,,,
Forewarning of poliovirus outbreaks in the horn of africa: An assessment of acute flaccid paralysis surveillance and routine immunization systems in Kenya,2014,Journal of Infectious Diseases,in,Providing study background,,,,,,,,,,,,,,,,,
A cross-sectional ecological study of spatial scale and geographic inequality in access to drinkingwater and sanitation,2014,International Journal for Equity in Health,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Putting a MOOC for human rights in the hands of Kenyans: The Haki Zangu case for non-formal learning,2014,Electronic Journal of Information Systems in Developing Countries,in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
Impacts of population growth and economic development on water quality of a lake: Case study of Lake Victoria Kenya water,2014,Environmental Science and Pollution Research,in,Providing study background,,,,,,,,,,,,,,,,,
The policy-practice gap: Describing discordances between regulation on paper and real-life practices among specialized drug shops in Kenya,2014,BMC Health Services Research,in,Providing study background,,,,,,,,,,,,,,,,,
Protecting the public or setting the bar too high? Understanding the causes and consequences of regulatory actions of front-line regulators and specialized drug shop operators in Kenya,2013,Social Science and Medicine,in,Providing study background,,,,,,,,,,,,,,,,,
Maltreatment experiences and associated factors prior to admission to residential care: A sample of institutionalized children and youth in western Kenya,2013,Child Abuse and Neglect,in,Providing study background,,,,,,,,,,,,,,,,,
A Qualitative Evaluation of Hand Drying Practices among Kenyans,2013,PLoS ONE,in,Providing study background,,,,,,,,,,,,,,,,,
Powering the cellphone revolution: Findings from mobile phone charging trials in off-grid Kenya,2013,Conference on Human Factors in Computing Systems - Proceedings,in,Providing study background,,,,,,,,,,,,,,,,,
Can Big Push Interventions Take Small-Scale Farmers out of Poverty? Insights from the Sauri Millennium Village in Kenya,2013,World Development,in,Providing study background,,,,,,,,,,,,,,,,,
"Floods and livelihoods: The impact of changing water resources on wetland agro-ecological production systems in the Tana River Delta, Kenya",2013,Global Environmental Change,in,Providing study background,,,,,,,,,,,,,,,,,
Open data visualization keeping traces of the exploration process,2012,ACM International Conference Proceeding Series,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
"Knowledge, attitudes, and substance use practices among street children in Western Kenya",2012,Substance Use and Misuse,in,Providing study background,,,,,,,,,,,,,,,,,
"Religious Fundamentalism, Constitution-making and Democracy in Kenya: The Kadhis Courts Debate",2012,Round Table,in,Providing study background,,,,,,,,,,,,,,,,,
Spatial distribution of bednet coverage under routine distribution through the public health sector in a rural district in kenya,2011,PLoS ONE,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Prevalence of and relationship between two human-associated DNA biomarkers for bacteroidales in an urban watershed,2015,Journal of Environmental Quality,in,Providing study background,,,,,,,,,,,,,,,,,
Landscape traits can contribute to range limit equilibrium: Habitat constraints refine potential range of an edge population of Black-headed Bunting Emberiza melanocephala,2015,Bird Study,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Current and future effectiveness of Natura 2000 network in the central Alps for the conservation of mountain forest owl species in a warming climate,2015,European Journal of Wildlife Research,in,main data source for new analysis,,used land use map,,,,,,,,,,,,,,,
Critical decisions for older people with advanced dementia: A prospective study in long-term institutions and district home care,2015,Journal of the American Medical Directors Association,in,Providing study background,,,,,,,,,,,,,,,,,
Model for designing infiltration basins in tropical and subtropical climates with a focus on unpaved roads,2014,Journal of Hydrologic Engineering,in,Providing study background,,lexingtonky,,,,,,,,,,,,,,,
Pollinator assemblages on dandelions and white clover in urban and suburban lawns,2014,Journal of Insect Conservation,in,"ancillary data source for new analysis (e.g., as base map)",y,,,,,,,,,,,,,,,,
Has urbanization changed ecological streamflow characteristics in Maine (USA)? [L'urbanisation a-t-elle chang茅 les caract茅ristiques des d茅bits 茅cologiques dans le Maine (USA)?],2012,Hydrological Sciences Journal,in,aiding result interpreting,,,,,,,,,,,,,,,,,
The influence of collection facility attributes on household collection rates of electronic waste: The case of televisions and computer monitors,2011,"Resources, Conservation and Recycling",in,main data source for new analysis,,"multi-source, multi-purpose",,,,,,,,,,,,,,,
"Circular distribution of three species of epiphytic orchids in shade coffee plantations, in Soconusco, Chiapas, Mexico",2016,Plant Ecology and Evolution,in,Providing study background,,,,,,,,,,,,,,,,,
Walk-friendly suburbs for older adults? Exploring the enablers and barriers to walking in a large suburban municipality in Canada,2015,Journal of Aging Studies,in,aiding result interpreting,,multi-source,,,,,,,,,,,,,,,
Childhood lead exposure and sexually transmitted infections: New evidence,2015,Environmental Research,in,main data source for new analysis,,,,,,,,,,,,,,,,,
A comparative evaluation of urban fabric detection techniques based on mobile traffic data,2015,"Proceedings of the 2015 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2015",in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
Unveiling patterns of international communities in a global city using mobile phone data,2015,EPJ Data Science,in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
Artificially intelligent conversational agents in libraries,2010,Library Hi Tech,,,,,,,,,,,,,,,,,,,
The grey system for monitoring self-funded research,2010,Grey Journal,in,Providing study background,,,,,,,,,,,,,,,,,
A simulation framework for network performance evaluation of large-scale RF-mesh AMIs,2017,Simulation Modelling Practice and Theory,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
"Treating infants with frigg: Linking disease aetiologies, medicinal plant use and care-seeking behaviour in southern Morocco",2017,Journal of Ethnobiology and Ethnomedicine,in,Providing study background,,,,,,,,,,,,,,,,,
"Socio-spatial differentiation in the Sustainable City: A mixed-methods assessment of residential gardens in metropolitan Portland, Oregon, USA",2016,Landscape and Urban Planning,in,Providing study background,,,,,,,,,,,,,,,,,
Environmental exposure to pesticides and the risk of Parkinson's disease in the Netherlands,2017,Environment International,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
On-filter direct amplification of Legionella pneumophila for rapid assessment of its abundance and viability,2017,Water Research,in,Providing study background,,,,,,,,,,,,,,,,,
"Impact of New York prescription drug monitoring program, I-STOP, on statewide overdose morbidity",2017,Drug and Alcohol Dependence,in,main data source for new analysis,,multi-source,,,,,,,,,,,,,,,
Land-Use Change at Temporary Group-Housing Sites in Post-Katrina Louisiana,2017,Natural Hazards Review,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Viability analysis of electric taxis using New York City dataset,2017,e-Energy 2017 - Proceedings of the 8th International Conference on Future Energy Systems,in,main data source for new analysis,,,,,,,,,,,,,,,,,
